"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","weight","height","width","depth","thumbnailURL","imageURL"
3495,"Police Helicopter",1988,"Town","Modern day","Police","Normal",TRUE,66,1,"https://brickset.com/sets/6642-1",3.6,3,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6642-1.jpg","https://images.brickset.com/sets/images/6642-1.jpg"
3496,"Fire Chief's Truck",1988,"Town","Modern day","Fire","Normal",TRUE,74,1,"https://brickset.com/sets/6643-1",3.5,4,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6643-1.jpg","https://images.brickset.com/sets/images/6643-1.jpg"
3528,"Crane Truck",1988,"Town","Modern day","Vehicles","Normal",TRUE,94,1,"https://brickset.com/sets/6674-1",3.9,1,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6674-1.jpg","https://images.brickset.com/sets/images/6674-1.jpg"
3529,"Road & Trail 4 x 4",1988,"Town","Modern day","Vehicles","Normal",TRUE,81,1,"https://brickset.com/sets/6675-1",3.9,4,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6675-1.jpg","https://images.brickset.com/sets/images/6675-1.jpg"
3558,"Minifig Pack",1988,"Space","Action/Adventure","Miscellaneous","Normal",TRUE,42,6,"https://brickset.com/sets/6703-1",4.4,4,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6703-1.jpg","https://images.brickset.com/sets/images/6703-1.jpg"
3602,"Lunar Transporter Patroller",1988,"Space","Action/Adventure","Futuron","Normal",TRUE,117,1,"https://brickset.com/sets/6770-1",3.5,2,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6770-1.jpg","https://images.brickset.com/sets/images/6770-1.jpg"
3642,"Twin-Winged Spoiler",1988,"Space","Action/Adventure","Futuron","Normal",TRUE,57,1,"https://brickset.com/sets/6828-1",3.7,1,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6828-1.jpg","https://images.brickset.com/sets/images/6828-1.jpg"
3644,"Space Patroller",1988,"Space","Action/Adventure","Futuron","Normal",TRUE,51,3,"https://brickset.com/sets/6830-1",3.8,6,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6830-1.jpg","https://images.brickset.com/sets/images/6830-1.jpg"
3659,"Strategic Pursuer",1988,"Space","Action/Adventure","Futuron","Normal",TRUE,54,1,"https://brickset.com/sets/6848-1",3.7,2,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6848-1.jpg","https://images.brickset.com/sets/images/6848-1.jpg"
3673,"Hovercraft",1988,"Space","Action/Adventure","Futuron","Normal",TRUE,93,1,"https://brickset.com/sets/6875-1",3.9,1,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6875-1.jpg","https://images.brickset.com/sets/images/6875-1.jpg"
