"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","bricksetURL","rating","reviewCount","packagingType","availability","US_retailPrice","UK_retailPrice","height","width","depth","weight","thumbnailURL","imageURL"
7328,"Imagination Set 3",1971,"Samsonite","Vintage","Basic set","Normal",TRUE,576,"https://brickset.com/sets/103-2",0,0,"Box","Retail",9.95,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/103-2.jpg","https://images.brickset.com/sets/images/103-2.jpg"
7535,"Imagination Set 4",1971,"Samsonite","Vintage","Basic set","Normal",TRUE,737,"https://brickset.com/sets/104-2",0,0,"Box","Retail",12.95,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/104-2.jpg","https://images.brickset.com/sets/images/104-2.jpg"
7356,"Imagination Set 5",1971,"Samsonite","Vintage","Basic set","Normal",TRUE,917,"https://brickset.com/sets/105-3",0,0,"Box","Retail",14.95,NA,NA,NA,NA,NA,NA,NA
7357,"4.5V Reversible Power Unit",1971,"Samsonite","Vintage","Model Maker","Normal",TRUE,16,"https://brickset.com/sets/107-3",0,0,"Box","Retail",10.95,NA,20,25,7,NA,"https://images.brickset.com/sets/small/107-3.jpg","https://images.brickset.com/sets/images/107-3.jpg"
7358,"Vehicle Accessory Pack",1971,"Samsonite","Vintage","Supplemental","Normal",FALSE,61,"https://brickset.com/sets/110-2",0,0,"Box","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
7359,"Building Accessory Pack",1971,"Samsonite","Vintage","Supplemental","Normal",FALSE,111,"https://brickset.com/sets/111-3",0,0,"Box","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
7959,"Lego Giant Base Plate",1971,"Samsonite","Vintage","Supplemental","Normal",TRUE,2,"https://brickset.com/sets/112-3",0,0,"Shrink-wrapped","Retail",NA,NA,31.75,31.75,0.3175,NA,"https://images.brickset.com/sets/small/112-3.jpg","https://images.brickset.com/sets/images/112-3.jpg"
7361,"Mobile Crane (Train Base)",1971,"Trains","Modern day","4.5V","Normal",TRUE,23,"https://brickset.com/sets/128-2",0,0,"Box","Retail",NA,0.88,NA,NA,NA,NA,"https://images.brickset.com/sets/small/128-2.jpg","https://images.brickset.com/sets/images/128-2.jpg"
7362,"Mobile Crane (Plate Base)",1971,"Trains","Modern day","4.5V","Normal",TRUE,38,"https://brickset.com/sets/128-3",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/128-3.jpg","https://images.brickset.com/sets/images/128-3.jpg"
7363,"Vehicle Extra Parts Kit",1971,"Samsonite","Vintage","Supplemental","Normal",TRUE,61,"https://brickset.com/sets/166-2",0,0,"Box","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/166-2.jpg","https://images.brickset.com/sets/images/166-2.jpg"
7364,"House and Garden Extra Parts Kit",1971,"Samsonite","Vintage","Supplemental","Normal",TRUE,111,"https://brickset.com/sets/167-2",0,0,"Box","Promotional",NA,NA,10.5,20.5,5,NA,"https://images.brickset.com/sets/small/167-2.jpg","https://images.brickset.com/sets/images/167-2.jpg"
7451,"Factory with Conveyor Belt",1971,"Samsonite","Vintage","Model Maker","Normal",TRUE,248,"https://brickset.com/sets/248-2",0,0,"Box","{Not specified}",8.8699,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/248-2.jpg","https://images.brickset.com/sets/images/248-2.jpg"
7365,"Dolls Living Room",1971,"Homemaker","Vintage",NA,"Normal",TRUE,173,"https://brickset.com/sets/260-3",0,0,"Box","Retail",NA,1.98,NA,NA,NA,NA,"https://images.brickset.com/sets/small/260-3.jpg","https://images.brickset.com/sets/images/260-3.jpg"
7366,"Dolls Kitchen",1971,"Homemaker","Vintage",NA,"Normal",TRUE,156,"https://brickset.com/sets/261-4",0,0,"Box","Retail",NA,1.98,NA,NA,NA,NA,"https://images.brickset.com/sets/small/261-4.jpg","https://images.brickset.com/sets/images/261-4.jpg"
7367,"Garage with Automatic Doors",1971,"LEGOLAND","Vintage","Building","Normal",TRUE,38,"https://brickset.com/sets/348-1",0,0,"Box","Retail",NA,0.88,NA,NA,NA,NA,"https://images.brickset.com/sets/small/348-1.jpg","https://images.brickset.com/sets/images/348-1.jpg"
5499,"Swiss Chalet",1971,"LEGOLAND","Vintage","Building","Normal",TRUE,81,"https://brickset.com/sets/349-1",0,2,"Box","Retail",NA,1.18,NA,NA,NA,NA,"https://images.brickset.com/sets/small/349-1.jpg","https://images.brickset.com/sets/images/349-1.jpg"
7368,"Mini-Wheel Construction Set",1971,"Samsonite","Vintage","Model Maker","Normal",TRUE,195,"https://brickset.com/sets/349-2",0,0,"Box","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/349-2.jpg","https://images.brickset.com/sets/images/349-2.jpg"
7369,"Spanish Villa",1971,"LEGOLAND","Vintage","Building","Normal",TRUE,126,"https://brickset.com/sets/350-1",0,0,"Box","Retail",NA,1.65,NA,NA,NA,NA,"https://images.brickset.com/sets/small/350-1.jpg","https://images.brickset.com/sets/images/350-1.jpg"
6324,"Gravel Depot",1971,"LEGOLAND","Vintage","Building","Normal",TRUE,170,"https://brickset.com/sets/351-1",0,2,"Box","Retail",NA,2.2,NA,NA,NA,NA,"https://images.brickset.com/sets/small/351-1.jpg","https://images.brickset.com/sets/images/351-1.jpg"
7370,"Ambulance",1971,"Samsonite","Vintage","Model Maker","Normal",TRUE,23,"https://brickset.com/sets/360-2",0,0,"Box","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/360-2.jpg","https://images.brickset.com/sets/images/360-2.jpg"
7371,"Tow Truck Kit",1971,"Samsonite","Vintage","Model Maker","Normal",TRUE,24,"https://brickset.com/sets/361-3",0,0,"Box","Retail",NA,NA,10.16,12.7,2.54,NA,"https://images.brickset.com/sets/small/361-3.jpg","https://images.brickset.com/sets/images/361-3.jpg"
7372,"Delivery Van",1971,"Samsonite","Vintage","Model Maker","Normal",TRUE,33,"https://brickset.com/sets/362-2",0,0,"Box","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/362-2.jpg","https://images.brickset.com/sets/images/362-2.jpg"
6369,"Antique Car Kit",1971,"Samsonite","Vintage","Model Maker","Normal",TRUE,38,"https://brickset.com/sets/363-2",0,1,"Box","Retail",NA,NA,10.16,12.7,3.175,NA,"https://images.brickset.com/sets/small/363-2.jpg","https://images.brickset.com/sets/images/363-2.jpg"
7374,"Tipper Truck",1971,"LEGOLAND","Vintage","Vehicle","Normal",TRUE,48,"https://brickset.com/sets/371-1",0,0,"Box","Retail",14,0.88,NA,NA,NA,NA,"https://images.brickset.com/sets/small/371-1.jpg","https://images.brickset.com/sets/images/371-1.jpg"
7375,"Tow Truck",1971,"LEGOLAND","Vintage","Vehicle","Normal",TRUE,54,"https://brickset.com/sets/372-2",0,0,"Box","Retail",NA,0.95,NA,NA,NA,NA,"https://images.brickset.com/sets/small/372-2.jpg","https://images.brickset.com/sets/images/372-2.jpg"
7376,"Ambulance",1971,"LEGOLAND","Vintage","Vehicle","Normal",TRUE,65,"https://brickset.com/sets/373-2",0,0,"Box","Retail",NA,1.1,NA,NA,NA,NA,"https://images.brickset.com/sets/small/373-2.jpg","https://images.brickset.com/sets/images/373-2.jpg"
7377,"Fire Engine",1971,"LEGOLAND","Vintage","Vehicle","Normal",TRUE,74,"https://brickset.com/sets/374-2",0,0,"Box","Retail",NA,1.18,NA,NA,NA,NA,"https://images.brickset.com/sets/small/374-2.jpg","https://images.brickset.com/sets/images/374-2.jpg"
7378,"Refrigerator Truck and Trailer",1971,"LEGOLAND","Vintage","Vehicle","Normal",TRUE,128,"https://brickset.com/sets/375-3",0,0,"Box","Retail",NA,1.55,NA,NA,NA,NA,"https://images.brickset.com/sets/small/375-3.jpg","https://images.brickset.com/sets/images/375-3.jpg"
7379,"Low loader with Excavator",1971,"LEGOLAND","Vintage","Vehicle","Normal",TRUE,92,"https://brickset.com/sets/376-1",0,1,"Box","Retail",NA,1.75,NA,NA,NA,NA,"https://images.brickset.com/sets/small/376-1.jpg","https://images.brickset.com/sets/images/376-1.jpg"
6484,"Crane and Float Truck",1971,"LEGOLAND","Vintage","Vehicle","Normal",TRUE,91,"https://brickset.com/sets/377-2",0,0,"Box","Retail",NA,1.85,NA,NA,NA,NA,"https://images.brickset.com/sets/small/377-2.jpg","https://images.brickset.com/sets/images/377-2.jpg"
7380,"Village Set",1971,"LEGOLAND","Vintage","Building","Normal",TRUE,485,"https://brickset.com/sets/380-1",0,0,"Box","Retail",NA,5.9,NA,NA,NA,NA,"https://images.brickset.com/sets/small/380-1.jpg","https://images.brickset.com/sets/images/380-1.jpg"
6172,"Excavator",1971,"LEGOLAND","Vintage","Vehicle","Normal",TRUE,22,"https://brickset.com/sets/604-2",0,0,"Box","Retail",NA,0.33,NA,NA,NA,NA,"https://images.brickset.com/sets/small/604-2.jpg","https://images.brickset.com/sets/images/604-2.jpg"
6173,"Taxi",1971,"LEGOLAND","Vintage","Vehicle","Normal",TRUE,19,"https://brickset.com/sets/605-2",0,1,"Box","Retail",NA,0.33,NA,NA,NA,NA,"https://images.brickset.com/sets/small/605-2.jpg","https://images.brickset.com/sets/images/605-2.jpg"
