"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","CA_retailPrice","CA_dateFirstAvailable","CA_dateLastAvailable","DE_retailPrice","DE_dateFirstAvailable","DE_dateLastAvailable","height","width","depth","weight","thumbnailURL","imageURL"
8682,"LEGO Signature Minifigure Stationery Set",2011,"Gear","Miscellaneous","Stationery","Gear",TRUE,NA,NA,"https://brickset.com/sets/853143-1",0,0,"{Not specified}","{Not specified}",NA,6.99,"2011-03-05T00:00:00Z","2012-01-11T00:00:00Z",3.99,"2011-03-05T00:00:00Z","2012-01-20T00:00:00Z",7.49,"2011-08-27T00:00:00Z","2012-01-11T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/853143-1.jpg","https://images.brickset.com/sets/images/853143-1.jpg"
8683,"LEGO 2x4 Brick Coin Bank",2011,"Gear","Miscellaneous","Miscellaneous","Gear",TRUE,NA,NA,"https://brickset.com/sets/853144-1",0,0,"{Not specified}","{Not specified}",NA,7.99,"2011-03-05T00:00:00Z","2013-11-30T00:00:00Z",3.99,"2011-03-05T00:00:00Z","2013-11-15T00:00:00Z",8.49,"2011-05-31T00:00:00Z","2013-11-30T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/853144-1.jpg","https://images.brickset.com/sets/images/853144-1.jpg"
8684,"LEGO Signature Minifigure Playing Cards",2011,"Gear","Miscellaneous","Trading/Playing cards","Gear",TRUE,NA,NA,"https://brickset.com/sets/853146-1",0,1,"{Not specified}","{Not specified}",NA,3.99,"2011-03-05T00:00:00Z","2012-01-04T00:00:00Z",1.99,"2011-03-05T00:00:00Z","2012-02-13T00:00:00Z",4.49,"2011-05-31T00:00:00Z","2012-01-04T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/853146-1.jpg","https://images.brickset.com/sets/images/853146-1.jpg"
8685,"LEGO Classic Logo Wallet",2011,"Gear","Miscellaneous","Bags","Gear",TRUE,NA,NA,"https://brickset.com/sets/853147-1",0,0,"{Not specified}","{Not specified}",NA,9.99,"2011-03-05T00:00:00Z","2011-09-16T00:00:00Z",5.99,"2011-03-05T00:00:00Z","2011-09-12T00:00:00Z",10.49,"2011-05-31T00:00:00Z","2011-09-16T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/853147-1.jpg","https://images.brickset.com/sets/images/853147-1.jpg"
8686,"LEGO Classic Logo Magnet",2011,"Gear","Miscellaneous","Magnets/Miscellaneous","Gear",TRUE,NA,NA,"https://brickset.com/sets/853148-1",0,1,"{Not specified}","{Not specified}",NA,3.99,"2011-03-05T00:00:00Z","2012-01-03T00:00:00Z",1.99,"2011-03-05T00:00:00Z","2011-08-08T00:00:00Z",4.49,"2011-05-31T00:00:00Z","2012-01-03T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/853148-1.jpg","https://images.brickset.com/sets/images/853148-1.jpg"
8442,"Amset-Ra Key Chain",2011,"Gear","Miscellaneous","Key Chains/Pharaoh's Quest","Gear",TRUE,NA,NA,"https://brickset.com/sets/853165-1",0,1,"{Not specified}","{Not specified}",6,4.99,"2010-12-03T00:00:00Z","2012-02-22T00:00:00Z",2.99,"2011-01-04T00:00:00Z","2012-03-08T00:00:00Z",5.49,"2011-05-31T00:00:00Z","2012-02-22T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/853165-1.jpg","https://images.brickset.com/sets/images/853165-1.jpg"
8627,"Jake Raines Key Chain",2011,"Gear","Miscellaneous","Key Chains/Pharaoh's Quest","Gear",TRUE,NA,NA,"https://brickset.com/sets/853166-1",0,0,"{Not specified}","{Not specified}",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/853166-1.jpg","https://images.brickset.com/sets/images/853166-1.jpg"
8439,"Anubis Guard Key Chain",2011,"Gear","Miscellaneous","Key Chains/Pharaoh's Quest","Gear",TRUE,NA,NA,"https://brickset.com/sets/853167-1",0,1,"{Not specified}","{Not specified}",6,4.99,"2010-12-03T00:00:00Z","2012-02-02T00:00:00Z",2.99,"2011-01-04T00:00:00Z","2012-01-02T00:00:00Z",5.49,"2011-05-31T00:00:00Z","2012-02-02T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/853167-1.jpg","https://images.brickset.com/sets/images/853167-1.jpg"
8440,"Magnet Set: Amset-Ra, Jack Raines and Anubis Guard",2011,"Gear","Miscellaneous","Magnets/Pharaoh's Quest","Gear",TRUE,NA,NA,"https://brickset.com/sets/853168-1",0,1,"{Not specified}","{Not specified}",6,14.99,"2010-12-03T00:00:00Z","2012-01-20T00:00:00Z",9.99,"2011-01-04T00:00:00Z","2012-01-08T00:00:00Z",15.49,"2011-05-31T00:00:00Z","2012-01-20T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/853168-1.jpg","https://images.brickset.com/sets/images/853168-1.jpg"
8508,"Pharaoh's Quest Coin Bank",2011,"Gear","Miscellaneous","Miscellaneous","Gear",TRUE,NA,NA,"https://brickset.com/sets/853175-1",0,1,"{Not specified}","{Not specified}",7,19.99,"2011-01-04T00:00:00Z","2012-02-24T00:00:00Z",14.99,"2011-01-04T00:00:00Z","2012-04-05T00:00:00Z",20.49,"2011-05-31T00:00:00Z","2012-02-24T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/853175-1.jpg","https://images.brickset.com/sets/images/853175-1.jpg"
