"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","UK_retailPrice","weight","thumbnailURL","imageURL"
764,"Medium Stack 'n' Learn Set",1995,"Duplo","Pre-school","Primo","Normal",TRUE,9,1,"https://brickset.com/sets/2082-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/2082-1.jpg","https://images.brickset.com/sets/images/2082-1.jpg"
765,"Large Stack 'n' Learn Set",1995,"Duplo","Pre-school","Primo","Normal",TRUE,14,1,"https://brickset.com/sets/2084-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/2084-1.jpg","https://images.brickset.com/sets/images/2084-1.jpg"
767,"XLarge Stack 'n' Learn Set",1995,"Duplo","Pre-school","Primo","Normal",TRUE,18,2,"https://brickset.com/sets/2086-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA
4940,"Baby Storage Bear",1995,"Primo","Pre-school",NA,"Normal",TRUE,18,1,"https://brickset.com/sets/2090-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/2090-1.jpg","https://images.brickset.com/sets/images/2090-1.jpg"
22524,"Small Basic Box",1995,"Basic","Basic",NA,"Normal",TRUE,10,NA,"https://brickset.com/sets/2320-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA
22525,"Large Giraffe Bucket",1995,"Duplo","Pre-school",NA,"Normal",TRUE,48,2,"https://brickset.com/sets/2324-1",0,0,"Bucket","Retail - limited",NA,NA,NA,NA,NA,NA
9697,"Green elephant bucket XL",1995,"Duplo","Pre-school",NA,"Normal",TRUE,63,3,"https://brickset.com/sets/2326-1",0,0,"Tub","Retail - limited",NA,NA,NA,NA,"https://images.brickset.com/sets/small/2326-1.jpg","https://images.brickset.com/sets/images/2326-1.jpg"
878,"Kitty Cat's Building Set",1995,"Duplo","Pre-school",NA,"Normal",TRUE,36,NA,"https://brickset.com/sets/2338-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA
22526,"Small Animals Bucket",1995,"Duplo","Pre-school",NA,"Normal",TRUE,35,1,"https://brickset.com/sets/2342-1",0,0,"Bucket","Retail - limited",NA,NA,NA,NA,NA,NA
22527,"Large Circus Bucket",1995,"Duplo","Pre-school",NA,"Normal",TRUE,57,2,"https://brickset.com/sets/2362-1",0,0,"Bucket","Retail - limited",NA,NA,NA,NA,NA,NA
5420,"Circus Bucket Green",1995,"Duplo","Pre-school",NA,"Normal",TRUE,40,2,"https://brickset.com/sets/2364-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA
893,"XLarge Basic Bucket",1995,"Duplo","Pre-school",NA,"Normal",TRUE,71,1,"https://brickset.com/sets/2368-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/2368-1.jpg","https://images.brickset.com/sets/images/2368-1.jpg"
1009,"Baby Animals",1995,"Duplo","Pre-school",NA,"Normal",TRUE,8,NA,"https://brickset.com/sets/2659-1",0,0,"{Not specified}","{Not specified}",NA,8,NA,NA,"https://images.brickset.com/sets/small/2659-1.jpg","https://images.brickset.com/sets/images/2659-1.jpg"
1013,"Water Animals",1995,"Duplo","Pre-school",NA,"Normal",TRUE,20,1,"https://brickset.com/sets/2663-1",0,0,"{Not specified}","{Not specified}",NA,15,NA,NA,NA,NA
1015,"Wild Cats",1995,"Duplo","Pre-school",NA,"Normal",TRUE,21,2,"https://brickset.com/sets/2665-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA
