"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","height","width","depth","thumbnailURL","imageURL"
2388,"The Chrome Crusher",1999,"Rock Raiders","Action/Adventure",NA,"Normal",TRUE,168,1,"https://brickset.com/sets/4970-1",4.3,12,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,28.8,28.8,7.2,"https://images.brickset.com/sets/small/4970-1.jpg","https://images.brickset.com/sets/images/4970-1.jpg"
2389,"The Tunnel Transport",1999,"Rock Raiders","Action/Adventure",NA,"Normal",TRUE,351,2,"https://brickset.com/sets/4980-1",4.7,13,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,28.8,38.4,7.2,"https://images.brickset.com/sets/small/4980-1.jpg","https://images.brickset.com/sets/images/4980-1.jpg"
2390,"The Rock Raiders HQ",1999,"Rock Raiders","Action/Adventure",NA,"Normal",TRUE,406,4,"https://brickset.com/sets/4990-1",4.4,9,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4990-1.jpg","https://images.brickset.com/sets/images/4990-1.jpg"
2410,"Primo Wagons",1999,"Service Packs","Miscellaneous","Primo","Normal",TRUE,2,NA,"https://brickset.com/sets/5021-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5021-1.jpg","https://images.brickset.com/sets/images/5021-1.jpg"
2414,"Duplo Tubes with Balls",1999,"Service Packs","Miscellaneous","Duplo","Normal",TRUE,7,NA,"https://brickset.com/sets/5025-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5025-1.jpg","https://images.brickset.com/sets/images/5025-1.jpg"
2598,"Technic Alloy Wheels (and Tyres)",1999,"Service Packs","Miscellaneous","Technic","Normal",TRUE,4,NA,"https://brickset.com/sets/5203-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5203-1.jpg","https://images.brickset.com/sets/images/5203-1.jpg"
2599,"Technic Competition Accessories",1999,"Service Packs","Miscellaneous","Technic","Normal",TRUE,11,NA,"https://brickset.com/sets/5204-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5204-1.jpg","https://images.brickset.com/sets/images/5204-1.jpg"
2600,"Technic Wheels and Rubber Bands",1999,"Service Packs","Miscellaneous","Technic","Normal",TRUE,14,NA,"https://brickset.com/sets/5205-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5205-1.jpg","https://images.brickset.com/sets/images/5205-1.jpg"
2605,"Green Bricks Assorted",1999,"Service Packs","Miscellaneous",NA,"Normal",TRUE,62,NA,"https://brickset.com/sets/5215-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5215-1.jpg","https://images.brickset.com/sets/images/5215-1.jpg"
2606,"Black Roof Bricks Assorted",1999,"Service Packs","Miscellaneous",NA,"Normal",TRUE,57,NA,"https://brickset.com/sets/5216-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5216-1.jpg","https://images.brickset.com/sets/images/5216-1.jpg"
