"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","height","width","depth","thumbnailURL","imageURL"
1711,"Lionel Lion's Classroom",1989,"Fabuland","Junior",NA,"Normal",TRUE,42,3,"https://brickset.com/sets/3647-1",0,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/3647-1.jpg","https://images.brickset.com/sets/images/3647-1.jpg"
1724,"Merry-Go-Round",1989,"Fabuland","Junior",NA,"Normal",TRUE,23,2,"https://brickset.com/sets/3663-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/3663-1.jpg","https://images.brickset.com/sets/images/3663-1.jpg"
1737,"Cathy Cat's Fun Park",1989,"Fabuland","Junior",NA,"Normal",TRUE,43,4,"https://brickset.com/sets/3676-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/3676-1.jpg","https://images.brickset.com/sets/images/3676-1.jpg"
2399,"Basic Motor 4.5V, Motor and Gear Housing. For use with set 810",1989,"Service Packs","Miscellaneous",NA,"Normal",TRUE,1,NA,"https://brickset.com/sets/5007-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5007-1.jpg","https://images.brickset.com/sets/images/5007-1.jpg"
2427,"Current-Carrying Bricks 9V Assorted Sizes",1989,"Service Packs","Miscellaneous",NA,"Normal",TRUE,9,NA,"https://brickset.com/sets/5037-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5037-1.jpg","https://images.brickset.com/sets/images/5037-1.jpg"
2428,"Battery Box 9V Electric System",1989,"Service Packs","Miscellaneous",NA,"Normal",TRUE,1,NA,"https://brickset.com/sets/5038-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5038-1.jpg","https://images.brickset.com/sets/images/5038-1.jpg"
2429,"Monorail Stop / Reverse Switch",1989,"Service Packs","Miscellaneous","Monorail","Normal",TRUE,3,NA,"https://brickset.com/sets/5039-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5039-1.jpg","https://images.brickset.com/sets/images/5039-1.jpg"
2431,"Monorail Motor 9 V",1989,"Service Packs","Miscellaneous","Monorail","Normal",TRUE,1,NA,"https://brickset.com/sets/5040-1",0,0,"Box","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5040-1.jpg","https://images.brickset.com/sets/images/5040-1.jpg"
2432,"Space Track Connector Lead 9V (10 cm)",1989,"Service Packs","Miscellaneous","Monorail","Normal",TRUE,1,NA,"https://brickset.com/sets/5041-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5041-1.jpg","https://images.brickset.com/sets/images/5041-1.jpg"
2469,"Sliding Gates and Rails",1989,"Service Packs","Miscellaneous","Trains","Normal",TRUE,6,NA,"https://brickset.com/sets/5077-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5077-1.jpg","https://images.brickset.com/sets/images/5077-1.jpg"
2471,"Change-Over Unit 12V",1989,"Service Packs","Miscellaneous","Trains","Normal",TRUE,1,NA,"https://brickset.com/sets/5079-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5079-1.jpg","https://images.brickset.com/sets/images/5079-1.jpg"
2473,"Remote Control for Points 12V",1989,"Service Packs","Miscellaneous","Trains","Normal",TRUE,1,NA,"https://brickset.com/sets/5080-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5080-1.jpg","https://images.brickset.com/sets/images/5080-1.jpg"
2474,"Remote Control for Signal 12V",1989,"Service Packs","Miscellaneous","Trains","Normal",TRUE,1,NA,"https://brickset.com/sets/5081-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5081-1.jpg","https://images.brickset.com/sets/images/5081-1.jpg"
2475,"Flashlight Unit 12V",1989,"Service Packs","Miscellaneous","Trains","Normal",TRUE,1,NA,"https://brickset.com/sets/5082-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5082-1.jpg","https://images.brickset.com/sets/images/5082-1.jpg"
2476,"Remote Control for Crossing 12V",1989,"Service Packs","Miscellaneous","Trains","Normal",TRUE,1,NA,"https://brickset.com/sets/5083-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5083-1.jpg","https://images.brickset.com/sets/images/5083-1.jpg"
2477,"Lighting Bricks 12V for Signals",1989,"Service Packs","Miscellaneous","Trains","Normal",TRUE,1,NA,"https://brickset.com/sets/5084-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5084-1.jpg","https://images.brickset.com/sets/images/5084-1.jpg"
2478,"Insulating Track Plus Socket 12V (Isolating Rail)",1989,"Service Packs","Miscellaneous","Trains","Normal",TRUE,1,NA,"https://brickset.com/sets/5085-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5085-1.jpg","https://images.brickset.com/sets/images/5085-1.jpg"
2487,"Duplo Fences",1989,"Service Packs","Miscellaneous","Duplo","Normal",TRUE,5,NA,"https://brickset.com/sets/5095-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5095-1.jpg","https://images.brickset.com/sets/images/5095-1.jpg"
2488,"Duplo Millstone and Millwing",1989,"Service Packs","Miscellaneous","Duplo","Normal",TRUE,2,NA,"https://brickset.com/sets/5096-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5096-1.jpg","https://images.brickset.com/sets/images/5096-1.jpg"
2501,"Pneumatic Pump Cylinder 48 mm",1989,"Service Packs","Miscellaneous","Technic","Normal",TRUE,1,NA,"https://brickset.com/sets/5107-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5107-1.jpg","https://images.brickset.com/sets/images/5107-1.jpg"
2502,"Double-Acting Pneumatic Piston Cylinder 48 mm",1989,"Service Packs","Miscellaneous","Technic","Normal",TRUE,1,NA,"https://brickset.com/sets/5108-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5108-1.jpg","https://images.brickset.com/sets/images/5108-1.jpg"
2503,"Pneumatic Tubing and T-Junctions",1989,"Service Packs","Miscellaneous","Technic","Normal",TRUE,6,NA,"https://brickset.com/sets/5109-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5109-1.jpg","https://images.brickset.com/sets/images/5109-1.jpg"
2575,"Hinges and Couplings",1989,"Service Packs","Miscellaneous",NA,"Normal",TRUE,15,NA,"https://brickset.com/sets/5182-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5182-1.jpg","https://images.brickset.com/sets/images/5182-1.jpg"
2576,"Hinges and Tilting Bearings",1989,"Service Packs","Miscellaneous",NA,"Normal",TRUE,30,NA,"https://brickset.com/sets/5183-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5183-1.jpg","https://images.brickset.com/sets/images/5183-1.jpg"
2577,"Castle Elements",1989,"Service Packs","Miscellaneous","Castle","Normal",TRUE,34,NA,"https://brickset.com/sets/5184-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5184-1.jpg","https://images.brickset.com/sets/images/5184-1.jpg"
2579,"Low Fences",1989,"Service Packs","Miscellaneous",NA,"Normal",TRUE,10,NA,"https://brickset.com/sets/5186-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5186-1.jpg","https://images.brickset.com/sets/images/5186-1.jpg"
2580,"Bricks with Groove, Garage Panels",1989,"Service Packs","Miscellaneous",NA,"Normal",TRUE,26,NA,"https://brickset.com/sets/5187-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5187-1.jpg","https://images.brickset.com/sets/images/5187-1.jpg"
2581,"Seats, Steering Wheels and Windscreens",1989,"Service Packs","Miscellaneous",NA,"Normal",TRUE,10,NA,"https://brickset.com/sets/5188-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5188-1.jpg","https://images.brickset.com/sets/images/5188-1.jpg"
2582,"Ladders / Stairs",1989,"Service Packs","Miscellaneous",NA,"Normal",TRUE,16,NA,"https://brickset.com/sets/5189-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5189-1.jpg","https://images.brickset.com/sets/images/5189-1.jpg"
2583,"Seats and Windscreens",1989,"Service Packs","Miscellaneous",NA,"Normal",TRUE,7,NA,"https://brickset.com/sets/5190-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5190-1.jpg","https://images.brickset.com/sets/images/5190-1.jpg"
2585,"Cypress Trees",1989,"Service Packs","Miscellaneous","Town","Normal",TRUE,2,NA,"https://brickset.com/sets/5192-1",0,1,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5192-1.jpg","https://images.brickset.com/sets/images/5192-1.jpg"
2586,"Sloping Frames",1989,"Service Packs","Miscellaneous",NA,"Normal",TRUE,6,NA,"https://brickset.com/sets/5193-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5193-1.jpg","https://images.brickset.com/sets/images/5193-1.jpg"
2587,"Forklift Truck and Hinge Plates",1989,"Service Packs","Miscellaneous",NA,"Normal",TRUE,3,NA,"https://brickset.com/sets/5194-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5194-1.jpg","https://images.brickset.com/sets/images/5194-1.jpg"
2588,"Assorted Arches",1989,"Service Packs","Miscellaneous",NA,"Normal",TRUE,6,NA,"https://brickset.com/sets/5195-1",0,1,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5195-1.jpg","https://images.brickset.com/sets/images/5195-1.jpg"
2589,"Crane, Crane Hooks and Ladders",1989,"Service Packs","Miscellaneous","Town","Normal",TRUE,5,NA,"https://brickset.com/sets/5196-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5196-1.jpg","https://images.brickset.com/sets/images/5196-1.jpg"
2590,"Lamp Holders, Tool Holder Plates",1989,"Service Packs","Miscellaneous",NA,"Normal",TRUE,24,NA,"https://brickset.com/sets/5197-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5197-1.jpg","https://images.brickset.com/sets/images/5197-1.jpg"
2591,"Small Plates, Disks and Cones",1989,"Service Packs","Miscellaneous",NA,"Normal",TRUE,56,NA,"https://brickset.com/sets/5198-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5198-1.jpg","https://images.brickset.com/sets/images/5198-1.jpg"
2645,"Shock Absorbers Small",1989,"Service Packs","Miscellaneous","Technic","Normal",TRUE,4,NA,"https://brickset.com/sets/5251-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5251-1.jpg","https://images.brickset.com/sets/images/5251-1.jpg"
2647,"Cross Axles Sizes 2, 3, 4 and 6",1989,"Service Packs","Miscellaneous","Technic","Normal",TRUE,12,NA,"https://brickset.com/sets/5253-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5253-1.jpg","https://images.brickset.com/sets/images/5253-1.jpg"
2648,"Cross Axles Sizes 8, 10 and 12",1989,"Service Packs","Miscellaneous","Technic","Normal",TRUE,9,NA,"https://brickset.com/sets/5254-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5254-1.jpg","https://images.brickset.com/sets/images/5254-1.jpg"
2650,"Suspension Pack",1989,"Service Packs","Miscellaneous","Technic","Normal",TRUE,12,NA,"https://brickset.com/sets/5256-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5256-1.jpg","https://images.brickset.com/sets/images/5256-1.jpg"
2658,"Rotors and Bush / Cross Axles",1989,"Service Packs","Miscellaneous","Technic","Normal",TRUE,24,NA,"https://brickset.com/sets/5264-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5264-1.jpg","https://images.brickset.com/sets/images/5264-1.jpg"
