"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","thumbnailURL","imageURL"
873,"Barney, The Skateboard Bear",1991,"Duplo","Pre-school",NA,"Normal",TRUE,8,NA,"https://brickset.com/sets/2331-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/2331-1.jpg","https://images.brickset.com/sets/images/2331-1.jpg"
881,"Peter's Holiday Building Set",1991,"Duplo","Pre-school",NA,"Normal",TRUE,17,1,"https://brickset.com/sets/2341-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/2341-1.jpg","https://images.brickset.com/sets/images/2341-1.jpg"
890,"Matt and Mutt Building Set",1991,"Duplo","Pre-school",NA,"Normal",TRUE,23,NA,"https://brickset.com/sets/2361-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
895,"Flying School",1991,"Duplo","Pre-school",NA,"Normal",TRUE,36,3,"https://brickset.com/sets/2371-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
898,"Play Bucket",1991,"Duplo","Pre-school",NA,"Normal",TRUE,36,NA,"https://brickset.com/sets/2376-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
901,"Bucket of Bricks",1991,"Duplo","Pre-school",NA,"Normal",TRUE,64,1,"https://brickset.com/sets/2381-1",0,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/2381-1.jpg","https://images.brickset.com/sets/images/2381-1.jpg"
902,"Circus Bucket",1991,"Duplo","Pre-school",NA,"Normal",TRUE,50,3,"https://brickset.com/sets/2386-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
22467,"Farm in a Bucket",1991,"Duplo","Pre-school",NA,"Normal",TRUE,60,3,"https://brickset.com/sets/2391-1",0,0,"Bucket","Retail - limited",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/2391-1.jpg","https://images.brickset.com/sets/images/2391-1.jpg"
906,"Farmyard",1991,"Duplo","Pre-school",NA,"Normal",TRUE,60,3,"https://brickset.com/sets/2392-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
22468,"Lil' Skipper",1991,"Duplo","Pre-school",NA,"Normal",TRUE,6,1,"https://brickset.com/sets/2443-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA
