"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","thumbnailURL","imageURL"
3093,"Red Cross Car",1978,"Town","Modern day","Classic","Normal",TRUE,38,1,"https://brickset.com/sets/623-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/623-1.jpg","https://images.brickset.com/sets/images/623-1.jpg"
3106,"Tractor Digger",1978,"Town","Modern day","Classic","Normal",TRUE,31,1,"https://brickset.com/sets/625-1",3.4,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/625-1.jpg","https://images.brickset.com/sets/images/625-1.jpg"
3117,"Red Cross Helicopter",1978,"Town","Modern day","Classic","Normal",TRUE,37,NA,"https://brickset.com/sets/626-2",0,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/626-2.jpg","https://images.brickset.com/sets/images/626-2.jpg"
7518,"Police Helicopter",1978,"LEGOLAND","Vintage",NA,"Normal",TRUE,39,NA,"https://brickset.com/sets/628-2",0,0,"{Not specified}","{Not specified}",NA,NA
3256,"Fire Truck and Trailer",1978,"Town","Modern day","Classic","Normal",TRUE,45,1,"https://brickset.com/sets/640-2",3.8,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/640-2.jpg","https://images.brickset.com/sets/images/640-2.jpg"
3266,"Excavator",1978,"Town","Modern day","Classic","Normal",TRUE,41,1,"https://brickset.com/sets/641-1",3.6,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/641-1.jpg","https://images.brickset.com/sets/images/641-1.jpg"
3275,"Tow Truck and Car",1978,"Town","Modern day","Classic","Normal",TRUE,44,NA,"https://brickset.com/sets/642-1",0,3,"Box","Retail","https://images.brickset.com/sets/small/642-1.jpg","https://images.brickset.com/sets/images/642-1.jpg"
3285,"Flatbed Truck",1978,"Town","Modern day","Classic","Normal",TRUE,39,2,"https://brickset.com/sets/643-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/643-1.jpg","https://images.brickset.com/sets/images/643-1.jpg"
3295,"Police Mobile Patrol",1978,"Town","Modern day","Classic","Normal",TRUE,64,1,"https://brickset.com/sets/644-2",3.2,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/644-2.jpg","https://images.brickset.com/sets/images/644-2.jpg"
3555,"Mobile Crane",1978,"Town","Modern day","Classic","Normal",TRUE,55,1,"https://brickset.com/sets/670-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/670-1.jpg","https://images.brickset.com/sets/images/670-1.jpg"
