"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","height","width","depth","weight","thumbnailURL","imageURL"
2164,"Sea Machines",2004,"Creator","Model making","Designer Set","Normal",TRUE,168,NA,"https://brickset.com/sets/4505-1",0,3,"Box","Retail",NA,7,NA,NA,5.99,NA,NA,19.2,14.4,6,0.17,"https://images.brickset.com/sets/small/4505-1.jpg","https://images.brickset.com/sets/images/4505-1.jpg"
2165,"Deep Sea Predators",2004,"Creator","Model making","Designer Set","Normal",TRUE,352,NA,"https://brickset.com/sets/4506-1",4.1,6,"Box","Retail",NA,20,NA,NA,14.99,NA,NA,28.8,28.8,6,0.65,"https://images.brickset.com/sets/small/4506-1.jpg","https://images.brickset.com/sets/images/4506-1.jpg"
2166,"Prehistoric Creatures",2004,"Creator","Model making","Designer Set","Normal",TRUE,726,NA,"https://brickset.com/sets/4507-1",4.4,34,"Box","Retail",NA,30,NA,NA,24.99,NA,NA,28.8,38.4,7.2,1.03,"https://images.brickset.com/sets/small/4507-1.jpg","https://images.brickset.com/sets/images/4507-1.jpg"
2167,"Titan XP",2004,"Creator","Model making","Designer Set","Normal",TRUE,784,NA,"https://brickset.com/sets/4508-1",4.5,19,"Box","Retail",NA,50,NA,NA,34.99,NA,NA,38.4,38.4,7.2,1.37,"https://images.brickset.com/sets/small/4508-1.jpg","https://images.brickset.com/sets/images/4508-1.jpg"
2168,"3-Seat Playtable",2004,"Gear","Miscellaneous","Furniture","Gear",TRUE,NA,NA,"https://brickset.com/sets/4509-1",0,0,"{Not specified}","{Not specified}",NA,249.99,"2007-10-24T00:00:00Z","2008-09-11T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4509-1.jpg","https://images.brickset.com/sets/images/4509-1.jpg"
2174,"Creator Value Pack",2004,"Creator","Model making",NA,"Normal",TRUE,800,NA,"https://brickset.com/sets/4518-1",0,1,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4518-1.jpg","https://images.brickset.com/sets/images/4518-1.jpg"
2188,"Special Edition Tub",2004,"Creator","Model making",NA,"Normal",TRUE,200,NA,"https://brickset.com/sets/4538-1",0,2,"Tub","Promotional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4538-1.jpg","https://images.brickset.com/sets/images/4538-1.jpg"
2209,"Creator Box",2004,"Creator","Model making",NA,"Normal",TRUE,400,NA,"https://brickset.com/sets/4562-1",0,0,"Box","Retail",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4562-1.jpg","https://images.brickset.com/sets/images/4562-1.jpg"
2271,"Speedy Police Car",2004,"4 Juniors","Junior","City","Normal",TRUE,24,1,"https://brickset.com/sets/4666-1",0,2,"{Not specified}","{Not specified}",NA,5,NA,NA,3.99,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4666-1.jpg","https://images.brickset.com/sets/images/4666-1.jpg"
2272,"Loadin' Digger",2004,"4 Juniors","Junior","City","Normal",TRUE,29,1,"https://brickset.com/sets/4667-1",0,3,"{Not specified}","{Not specified}",NA,8,NA,NA,6.99,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4667-1.jpg","https://images.brickset.com/sets/images/4667-1.jpg"
2273,"Outrigger Construction Crane",2004,"4 Juniors","Junior","City","Normal",TRUE,61,2,"https://brickset.com/sets/4668-1",0,1,"{Not specified}","{Not specified}",NA,13,NA,NA,14.99,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4668-1.jpg","https://images.brickset.com/sets/images/4668-1.jpg"
2274,"Turbo-Charged Police Boat",2004,"4 Juniors","Junior","City","Normal",TRUE,52,2,"https://brickset.com/sets/4669-1",0,1,"{Not specified}","{Not specified}",NA,20,NA,NA,14.99,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4669-1.jpg","https://images.brickset.com/sets/images/4669-1.jpg"
2275,"Police Key Chain",2004,"Gear","Miscellaneous","Key Chains/Miscellaneous","Gear",TRUE,NA,NA,"https://brickset.com/sets/4676-1",0,0,"{Not specified}","{Not specified}",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4676-1.jpg","https://images.brickset.com/sets/images/4676-1.jpg"
2276,"Name Letter Pack",2004,"Gear","Miscellaneous","Key Chains/Miscellaneous","Gear",TRUE,NA,NA,"https://brickset.com/sets/4677-1",0,0,"{Not specified}","{Not specified}",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4677-1.jpg","https://images.brickset.com/sets/images/4677-1.jpg"
2277,"Picture Holder",2004,"Gear","Miscellaneous","Photo frames","Gear",TRUE,NA,1,"https://brickset.com/sets/4678-1",0,0,"Box","LEGO exclusive",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4678-1.jpg","https://images.brickset.com/sets/images/4678-1.jpg"
2278,"Bricks and Creations",2004,"Creator","Model making",NA,"Normal",TRUE,1531,NA,"https://brickset.com/sets/4679-2",0,10,"Plastic box","Retail - limited",NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2279,"Traffic Patrol",2004,"Duplo","Pre-school","LEGO Ville","Normal",TRUE,3,1,"https://brickset.com/sets/4680-1",0,0,"{Not specified}","{Not specified}",NA,3,NA,NA,2.99,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4680-1.jpg","https://images.brickset.com/sets/images/4680-1.jpg"
2280,"Fire Truck",2004,"Duplo","Pre-school","LEGO Ville","Normal",TRUE,18,2,"https://brickset.com/sets/4681-1",0,0,"{Not specified}","{Not specified}",NA,13,NA,NA,14.99,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4681-1.jpg","https://images.brickset.com/sets/images/4681-1.jpg"
2281,"Pony and Cart",2004,"Duplo","Pre-school","LEGO Ville","Normal",TRUE,5,1,"https://brickset.com/sets/4683-1",0,1,"{Not specified}","{Not specified}",NA,4.99,"2008-06-25T00:00:00Z","2008-11-04T00:00:00Z",3.99,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4683-1.jpg","https://images.brickset.com/sets/images/4683-1.jpg"
2282,"Pick-Up Truck",2004,"Duplo","Pre-school","LEGO Ville","Normal",TRUE,4,1,"https://brickset.com/sets/4684-1",0,1,"{Not specified}","{Not specified}",NA,5,NA,NA,4.99,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4684-1.jpg","https://images.brickset.com/sets/images/4684-1.jpg"
2283,"Fork Lift",2004,"Duplo","Pre-school","LEGO Ville","Normal",TRUE,10,1,"https://brickset.com/sets/4685-1",0,0,"{Not specified}","{Not specified}",NA,8,NA,NA,7.99,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4685-1.jpg","https://images.brickset.com/sets/images/4685-1.jpg"
2284,"Little Farm",2004,"Duplo","Pre-school","LEGO Ville","Normal",TRUE,50,2,"https://brickset.com/sets/4686-1",0,0,"{Not specified}","{Not specified}",NA,20,NA,NA,19.99,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4686-1.jpg","https://images.brickset.com/sets/images/4686-1.jpg"
