"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","CA_retailPrice","CA_dateFirstAvailable","CA_dateLastAvailable","weight","thumbnailURL","imageURL"
2674,"Lift-Arms and Triangles",1993,"Service Packs","Miscellaneous","Technic","Normal",TRUE,10,NA,"https://brickset.com/sets/5280-1",0,0,"Polybag","LEGO exclusive",3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5280-1.jpg","https://images.brickset.com/sets/images/5280-1.jpg"
2799,"Sea Jet",1993,"Model Team","Model making",NA,"Normal",TRUE,401,NA,"https://brickset.com/sets/5521-1",4.4,1,"Box","Retail",36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5521-1.jpg","https://images.brickset.com/sets/images/5521-1.jpg"
2816,"Magic Flash",1993,"Model Team","Model making",NA,"Normal",TRUE,784,NA,"https://brickset.com/sets/5581-1",4.4,2,"Box","Retail",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5581-1.jpg","https://images.brickset.com/sets/images/5581-1.jpg"
2988,"Magic Shop",1993,"Castle","Historical","Dragon Knights","Normal",TRUE,47,1,"https://brickset.com/sets/6020-1",4,11,"Box","Retail",4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6020-1.jpg","https://images.brickset.com/sets/images/6020-1.jpg"
3012,"Dragon Defender",1993,"Castle","Historical","Dragon Knights","Normal",TRUE,157,2,"https://brickset.com/sets/6043-1",3.8,11,"Box","Retail",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6043-1.jpg","https://images.brickset.com/sets/images/6043-1.jpg"
3017,"Majisto's Magical Workshop",1993,"Castle","Historical","Dragon Knights","Normal",TRUE,185,2,"https://brickset.com/sets/6048-1",4.3,9,"Box","Retail",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6048-1.jpg","https://images.brickset.com/sets/images/6048-1.jpg"
3022,"Dragon Wagon",1993,"Castle","Historical","Dragon Knights","Normal",TRUE,105,2,"https://brickset.com/sets/6056-1",4,6,"Box","Retail",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6056-1.jpg","https://images.brickset.com/sets/images/6056-1.jpg"
3037,"Dark Dragon's Den",1993,"Castle","Historical","Dragon Knights","Normal",TRUE,214,4,"https://brickset.com/sets/6076-1",4,11,"Box","Retail",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6076-1.jpg","https://images.brickset.com/sets/images/6076-1.jpg"
3045,"Fire Breathing Fortress",1993,"Castle","Historical","Dragon Knights","Normal",TRUE,397,6,"https://brickset.com/sets/6082-1",4.3,13,"Box","Retail",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6082-1.jpg","https://images.brickset.com/sets/images/6082-1.jpg"
3068,"Medieval Knights",1993,"Castle","Historical","Accessories","Normal",TRUE,41,4,"https://brickset.com/sets/6105-1",3.7,7,"Box","Retail",6.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6105-1.jpg","https://images.brickset.com/sets/images/6105-1.jpg"
