"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","UK_retailPrice","height","width","depth","thumbnailURL","imageURL"
3609,"XT Starship",1986,"Space","Action/Adventure","Classic","Normal",TRUE,201,1,"https://brickset.com/sets/6780-1",4.1,5,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6780-1.jpg","https://images.brickset.com/sets/images/6780-1.jpg"
3611,"Sonar Transmitting Cruiser",1986,"Space","Action/Adventure","Classic","Normal",TRUE,363,3,"https://brickset.com/sets/6783-1",4.3,4,"Box","Retail",NA,50,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6783-1.jpg","https://images.brickset.com/sets/images/6783-1.jpg"
3617,"Space Probe",1986,"Space","Action/Adventure","Classic","Normal",TRUE,31,2,"https://brickset.com/sets/6802-1",3.8,4,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6802-1.jpg","https://images.brickset.com/sets/images/6802-1.jpg"
3634,"Starfire I",1986,"Space","Action/Adventure","Classic","Normal",TRUE,34,1,"https://brickset.com/sets/6820-1",3.9,2,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6820-1.jpg","https://images.brickset.com/sets/images/6820-1.jpg"
3655,"Cosmic Charger",1986,"Space","Action/Adventure","Classic","Normal",TRUE,51,1,"https://brickset.com/sets/6845-1",3.7,2,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6845-1.jpg","https://images.brickset.com/sets/images/6845-1.jpg"
3672,"Moon Rover",1986,"Space","Action/Adventure","Classic","Normal",TRUE,66,2,"https://brickset.com/sets/6874-1",3.7,2,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6874-1.jpg","https://images.brickset.com/sets/images/6874-1.jpg"
3689,"Modular Space Transport",1986,"Space","Action/Adventure","Classic","Normal",TRUE,150,2,"https://brickset.com/sets/6892-1",3.5,4,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6892-1.jpg","https://images.brickset.com/sets/images/6892-1.jpg"
3710,"Mobile Recovery Vehicle",1986,"Space","Action/Adventure","Classic","Normal",TRUE,150,2,"https://brickset.com/sets/6926-1",3.9,3,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6926-1.jpg","https://images.brickset.com/sets/images/6926-1.jpg"
3720,"Alien Moon Stalker",1986,"Space","Action/Adventure","Classic","Normal",TRUE,263,2,"https://brickset.com/sets/6940-1",4.6,7,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6940-1.jpg","https://images.brickset.com/sets/images/6940-1.jpg"
3753,"Cosmic Fleet Voyager",1986,"Space","Action/Adventure","Classic","Normal",TRUE,413,4,"https://brickset.com/sets/6985-1",4.7,10,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6985-1.jpg","https://images.brickset.com/sets/images/6985-1.jpg"
4009,"Shell Tanker Wagon",1986,"Trains","Modern day","4.5/12V","Normal",TRUE,121,1,"https://brickset.com/sets/7813-1",4.2,2,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/7813-1.jpg","https://images.brickset.com/sets/images/7813-1.jpg"
4019,"Container Crane Depot",1986,"Trains","Modern day","4.5/12V","Normal",TRUE,487,2,"https://brickset.com/sets/7823-1",4.4,3,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/7823-1.jpg","https://images.brickset.com/sets/images/7823-1.jpg"
4030,"Car Transport Depot",1986,"Trains","Modern day","4.5/12V","Normal",TRUE,340,2,"https://brickset.com/sets/7839-1",4.6,5,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/7839-1.jpg","https://images.brickset.com/sets/images/7839-1.jpg"
4105,"Universal Set",1986,"Technic","Technical","Universal","Normal",TRUE,174,NA,"https://brickset.com/sets/8035-1",3.4,2,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/8035-1.jpg","https://images.brickset.com/sets/images/8035-1.jpg"
4113,"Universal Motor Set",1986,"Technic","Technical","Universal","Normal",TRUE,191,NA,"https://brickset.com/sets/8055-1",3.9,2,"Box","Retail",NA,34.99,NA,NA,NA,NA,"https://images.brickset.com/sets/small/8055-1.jpg","https://images.brickset.com/sets/images/8055-1.jpg"
4424,"Snow Scooter",1986,"Technic","Technical","Arctic","Normal",TRUE,100,1,"https://brickset.com/sets/8620-1",3.9,1,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/8620-1.jpg","https://images.brickset.com/sets/images/8620-1.jpg"
4428,"Polar Copter",1986,"Technic","Technical","Arctic","Normal",TRUE,238,1,"https://brickset.com/sets/8640-1",4.1,1,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/8640-1.jpg","https://images.brickset.com/sets/images/8640-1.jpg"
4429,"Arctic Rescue Unit",1986,"Technic","Technical","Arctic","Normal",TRUE,385,2,"https://brickset.com/sets/8660-1",4.1,4,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/8660-1.jpg","https://images.brickset.com/sets/images/8660-1.jpg"
