"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","thumbnailURL","imageURL"
3036,"Castle",1981,"Castle","Historical","Classic","Normal",TRUE,767,14,"https://brickset.com/sets/6075-2",4.5,1,"Box","Retail - limited",NA,48,"https://images.brickset.com/sets/small/6075-2.jpg","https://images.brickset.com/sets/images/6075-2.jpg"
3038,"Knight's Procession",1981,"Castle","Historical","Classic","Normal",TRUE,48,6,"https://brickset.com/sets/6077-1",0,1,"Box","Retail - limited",NA,5,"https://images.brickset.com/sets/small/6077-1.jpg","https://images.brickset.com/sets/images/6077-1.jpg"
3047,"Knight's Joust",1981,"Castle","Historical","Classic","Normal",TRUE,211,6,"https://brickset.com/sets/6083-1",0,0,"Box","Retail - limited",NA,16,"https://images.brickset.com/sets/small/6083-1.jpg","https://images.brickset.com/sets/images/6083-1.jpg"
3217,"Summer Cottage",1981,"Town","Modern day","Leisure","Normal",TRUE,144,1,"https://brickset.com/sets/6365-1",4.3,6,"Box","Retail",NA,NA,"https://images.brickset.com/sets/small/6365-1.jpg","https://images.brickset.com/sets/images/6365-1.jpg"
3237,"Fire Station",1981,"Town","Modern day","Fire","Normal",TRUE,390,4,"https://brickset.com/sets/6382-1",4.3,10,"Box","Retail",NA,25,"https://images.brickset.com/sets/small/6382-1.jpg","https://images.brickset.com/sets/images/6382-1.jpg"
3238,"Public Works Center",1981,"Town","Modern day","Maintenance","Normal",TRUE,421,4,"https://brickset.com/sets/6383-1",4.8,6,"Box","Retail - limited",NA,30,"https://images.brickset.com/sets/small/6383-1.jpg","https://images.brickset.com/sets/images/6383-1.jpg"
3455,"Police Patrol",1981,"Town","Modern day","Classic","Normal",TRUE,23,1,"https://brickset.com/sets/6600-1",0,2,"Box","Retail - limited",NA,NA,"https://images.brickset.com/sets/small/6600-1.jpg","https://images.brickset.com/sets/images/6600-1.jpg"
3459,"Fire Unit I",1981,"Town","Modern day","Classic","Normal",TRUE,29,1,"https://brickset.com/sets/6602-1",0,1,"Box","Retail - limited",NA,NA,"https://images.brickset.com/sets/small/6602-1.jpg","https://images.brickset.com/sets/images/6602-1.jpg"
3467,"Gas Pumps",1981,"Town","Modern day","Shops and Services","Normal",TRUE,29,1,"https://brickset.com/sets/6610-1",3.7,4,"Box","Retail",NA,NA,"https://images.brickset.com/sets/small/6610-1.jpg","https://images.brickset.com/sets/images/6610-1.jpg"
3468,"Fire Chief's Car",1981,"Town","Modern day","Fire","Normal",TRUE,20,1,"https://brickset.com/sets/6611-1",3.3,3,"Box","Retail",NA,NA,"https://images.brickset.com/sets/small/6611-1.jpg","https://images.brickset.com/sets/images/6611-1.jpg"
3483,"Rescue Helicopter",1981,"Town","Modern day","Classic","Normal",TRUE,37,NA,"https://brickset.com/sets/6626-1",0,0,"Box","Retail - limited",NA,NA,"https://images.brickset.com/sets/small/6626-1.jpg","https://images.brickset.com/sets/images/6626-1.jpg"
3485,"Shell Tow Truck",1981,"Town","Modern day","Vehicles","Normal",TRUE,38,NA,"https://brickset.com/sets/6628-1",3.5,5,"Box","Retail",NA,NA,"https://images.brickset.com/sets/small/6628-1.jpg","https://images.brickset.com/sets/images/6628-1.jpg"
3486,"Ambulance",1981,"Town","Modern day","Medical","Normal",TRUE,39,1,"https://brickset.com/sets/6629-1",3.4,2,"Box","Retail",NA,NA,"https://images.brickset.com/sets/small/6629-1.jpg","https://images.brickset.com/sets/images/6629-1.jpg"
3487,"Bucket Loader",1981,"Town","Modern day","Construction","Normal",TRUE,34,1,"https://brickset.com/sets/6630-1",3.6,3,"Box","Retail",NA,NA,"https://images.brickset.com/sets/small/6630-1.jpg","https://images.brickset.com/sets/images/6630-1.jpg"
3504,"Fire and Rescue Van",1981,"Town","Modern day","Fire","Normal",TRUE,46,1,"https://brickset.com/sets/6650-1",3.8,1,"Box","Retail",NA,NA,"https://images.brickset.com/sets/small/6650-1.jpg","https://images.brickset.com/sets/images/6650-1.jpg"
3535,"Ambulance",1981,"Town","Modern day","Medical","Normal",TRUE,63,2,"https://brickset.com/sets/6680-1",3.8,2,"Box","Retail",NA,NA,"https://images.brickset.com/sets/small/6680-1.jpg","https://images.brickset.com/sets/images/6680-1.jpg"
3536,"Police Van",1981,"Town","Modern day","Police","Normal",TRUE,82,1,"https://brickset.com/sets/6681-1",3.8,3,"Box","Retail",NA,NA,"https://images.brickset.com/sets/small/6681-1.jpg","https://images.brickset.com/sets/images/6681-1.jpg"
3546,"Red Cross Helicopter",1981,"Town","Modern day","Medical","Normal",TRUE,107,2,"https://brickset.com/sets/6691-1",3.9,3,"Box","Retail",NA,NA,"https://images.brickset.com/sets/small/6691-1.jpg","https://images.brickset.com/sets/images/6691-1.jpg"
3616,"Moon Buggy",1981,"Space","Action/Adventure","Classic","Normal",TRUE,22,1,"https://brickset.com/sets/6801-1",3.9,6,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/6801-1.jpg","https://images.brickset.com/sets/images/6801-1.jpg"
3636,"Space Digger",1981,"Space","Action/Adventure","Classic","Normal",TRUE,33,1,"https://brickset.com/sets/6822-1",3.6,6,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/6822-1.jpg","https://images.brickset.com/sets/images/6822-1.jpg"
3653,"Small Space Shuttle Craft",1981,"Space","Action/Adventure","Classic","Normal",TRUE,46,1,"https://brickset.com/sets/6842-1",3.5,4,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/6842-1.jpg","https://images.brickset.com/sets/images/6842-1.jpg"
3669,"Space Probe Launcher",1981,"Space","Action/Adventure","Classic","Normal",TRUE,60,1,"https://brickset.com/sets/6870-1",3.8,6,"Box","Retail",NA,NA,"https://images.brickset.com/sets/small/6870-1.jpg","https://images.brickset.com/sets/images/6870-1.jpg"
3711,"All-Terrain Vehicle",1981,"Space","Action/Adventure","Classic","Normal",TRUE,170,2,"https://brickset.com/sets/6927-1",4.3,7,"{Not specified}","{Not specified}",NA,14.5,"https://images.brickset.com/sets/small/6927-1.jpg","https://images.brickset.com/sets/images/6927-1.jpg"
3713,"Star Fleet Voyager",1981,"Space","Action/Adventure","Classic","Normal",TRUE,242,1,"https://brickset.com/sets/6929-1",4.3,13,"{Not specified}","{Not specified}",NA,15,"https://images.brickset.com/sets/small/6929-1.jpg","https://images.brickset.com/sets/images/6929-1.jpg"
3997,"Electric Passenger Train Set",1981,"Trains","Modern day","4.5/12V","Normal",TRUE,485,1,"https://brickset.com/sets/7725-1",4.3,6,"{Not specified}","{Not specified}",NA,70,"https://images.brickset.com/sets/small/7725-1.jpg","https://images.brickset.com/sets/images/7725-1.jpg"
4007,"Trains Ideas Book",1981,"Books","Miscellaneous","LEGO","Book",TRUE,NA,NA,"https://brickset.com/sets/7777-1",0,2,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/7777-1.jpg","https://images.brickset.com/sets/images/7777-1.jpg"
4044,"Remote Controlled Decoupling and Signal 12V",1981,"Trains","Modern day","4.5/12V","Normal",TRUE,16,NA,"https://brickset.com/sets/7862-1",0,1,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/7862-1.jpg","https://images.brickset.com/sets/images/7862-1.jpg"
4434,"Technical Elements",1981,"Technic","Technical","Supplementary","Normal",TRUE,124,NA,"https://brickset.com/sets/8710-1",0,1,"Box","Retail",NA,NA,"https://images.brickset.com/sets/small/8710-1.jpg","https://images.brickset.com/sets/images/8710-1.jpg"
4486,"Helicopter",1981,"Technic","Technical",NA,"Normal",TRUE,316,NA,"https://brickset.com/sets/8844-1",3.8,3,"Box","Retail",NA,NA,"https://images.brickset.com/sets/small/8844-1.jpg","https://images.brickset.com/sets/images/8844-1.jpg"
4487,"Dune Buggy",1981,"Technic","Technical",NA,"Normal",TRUE,174,NA,"https://brickset.com/sets/8845-1",4.1,8,"Box","Retail",NA,20,"https://images.brickset.com/sets/small/8845-1.jpg","https://images.brickset.com/sets/images/8845-1.jpg"
4490,"Power Truck",1981,"Technic","Technical",NA,"Normal",TRUE,398,NA,"https://brickset.com/sets/8848-1",3.7,6,"Box","Retail",NA,NA,"https://images.brickset.com/sets/small/8848-1.jpg","https://images.brickset.com/sets/images/8848-1.jpg"
4504,"Tractor",1981,"Technic","Technical",NA,"Normal",TRUE,610,NA,"https://brickset.com/sets/8859-1",3.8,5,"Box","Retail",NA,NA,"https://images.brickset.com/sets/small/8859-1.jpg","https://images.brickset.com/sets/images/8859-1.jpg"
