"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","thumbnailURL","imageURL","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable"
2194,"4546",1,"Road & Rail Maintenance",1991,"Trains","Modern day","9V","Normal",TRUE,77,1,"https://brickset.com/sets/4546-1",4.1,3,"Box","Retail","https://images.brickset.com/sets/small/4546-1.jpg","https://images.brickset.com/sets/images/4546-1.jpg",NA,NA,NA,NA,NA,NA
2196,"4548",1,"Transformer and Speed Regulator",1991,"Trains","Modern day","9V","Normal",TRUE,3,NA,"https://brickset.com/sets/4548-1",3.7,2,"Box","Retail","https://images.brickset.com/sets/small/4548-1.jpg","https://images.brickset.com/sets/images/4548-1.jpg",41.99,"2007-10-24T00:00:00Z","2007-11-02T00:00:00Z",NA,NA,NA
2198,"4551",1,"Crocodile Locomotive",1991,"Trains","Modern day","9V","Normal",TRUE,314,1,"https://brickset.com/sets/4551-1",4.5,2,"Box","Retail","https://images.brickset.com/sets/small/4551-1.jpg","https://images.brickset.com/sets/images/4551-1.jpg",NA,NA,NA,NA,NA,NA
2201,"4554",1,"Metro Station",1991,"Trains","Modern day","9V","Normal",TRUE,600,8,"https://brickset.com/sets/4554-1",4.6,3,"Box","Retail","https://images.brickset.com/sets/small/4554-1.jpg","https://images.brickset.com/sets/images/4554-1.jpg",NA,NA,NA,NA,NA,NA
2205,"4558",1,"Metroliner",1991,"Trains","Modern day","9V","Normal",TRUE,784,11,"https://brickset.com/sets/4558-1",4.6,10,"Box","Retail","https://images.brickset.com/sets/small/4558-1.jpg","https://images.brickset.com/sets/images/4558-1.jpg",NA,NA,NA,NA,NA,NA
2210,"4563",1,"Load N' Haul Railroad",1991,"Trains","Modern day","9V","Normal",TRUE,476,3,"https://brickset.com/sets/4563-1",4.3,6,"Box","Retail","https://images.brickset.com/sets/small/4563-1.jpg","https://images.brickset.com/sets/images/4563-1.jpg",NA,NA,NA,NA,NA,NA
2433,"5042",1,"Space Light and Radar Plates, Disks and Cones (Transparent Lights)",1991,"Service Packs","Miscellaneous",NA,"Normal",TRUE,50,NA,"https://brickset.com/sets/5042-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/5042-1.jpg","https://images.brickset.com/sets/images/5042-1.jpg",NA,NA,NA,NA,NA,NA
2434,"5043",1,"Mini Antennas, Control Sticks and Antennas",1991,"Service Packs","Miscellaneous",NA,"Normal",TRUE,26,NA,"https://brickset.com/sets/5043-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/5043-1.jpg","https://images.brickset.com/sets/images/5043-1.jpg",NA,NA,NA,NA,NA,NA
2435,"5044",1,"Harbour Base with Slipway",1991,"Service Packs","Miscellaneous","Town","Normal",TRUE,3,NA,"https://brickset.com/sets/5044-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/5044-1.jpg","https://images.brickset.com/sets/images/5044-1.jpg",NA,NA,NA,NA,NA,NA
2436,"5045",1,"Magnets, Magnet Holders",1991,"Service Packs","Miscellaneous",NA,"Normal",TRUE,12,NA,"https://brickset.com/sets/5045-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/5045-1.jpg","https://images.brickset.com/sets/images/5045-1.jpg",NA,NA,NA,NA,NA,NA
