"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","bricksetURL","rating","reviewCount","packagingType","availability","thumbnailURL","imageURL","height","width","depth","weight"
7341,"722",2,"12V Electric Train with 2 Wagons",1970,"Trains","Modern day","12V","Normal",TRUE,151,"https://brickset.com/sets/722-2",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/722-2.jpg","https://images.brickset.com/sets/images/722-2.jpg",NA,NA,NA,NA
7342,"723",1,"Diesel Locomotive",1970,"Trains","Modern day","12V","Normal",TRUE,95,"https://brickset.com/sets/723-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/723-1.jpg","https://images.brickset.com/sets/images/723-1.jpg",NA,NA,NA,NA
7343,"742",1,"12v Transformer",1970,"Trains","Modern day","Supplemental / 12V","Normal",TRUE,1,"https://brickset.com/sets/742-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/742-1.jpg","https://images.brickset.com/sets/images/742-1.jpg",NA,NA,NA,NA
7351,"800",1,"Gears. Motor and Bricks",1970,"Universal Building Set","Basic","Gears","Normal",TRUE,120,"https://brickset.com/sets/800-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/800-1.jpg","https://images.brickset.com/sets/images/800-1.jpg",NA,NA,NA,NA
7352,"801",1,"Gear Set",1970,"Universal Building Set","Basic","Gears","Normal",TRUE,115,"https://brickset.com/sets/801-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/801-1.jpg","https://images.brickset.com/sets/images/801-1.jpg",NA,NA,NA,NA
7353,"802",1,"Gear Supplement",1970,"Universal Building Set","Basic","Gears","Normal",TRUE,30,"https://brickset.com/sets/802-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/802-1.jpg","https://images.brickset.com/sets/images/802-1.jpg",NA,NA,NA,NA
7326,"102A",1,"Front-End Loader",1970,"LEGOLAND","Vintage","Vehicle","Other",TRUE,57,"https://brickset.com/sets/102A-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/102A-1.jpg","https://images.brickset.com/sets/images/102A-1.jpg",NA,NA,NA,NA
25541,"445A",1,"Lighting Device Pack with Improved Plugs (The Building Toy)",1970,"System","Basic","Supplemental","Other",TRUE,8,"https://brickset.com/sets/445A-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/445A-1.jpg","https://images.brickset.com/sets/images/445A-1.jpg",NA,NA,NA,NA
30666,"707A",1,"12V Train Replacement Parts Retailer Pack",1970,"Trains","Modern day","Supplemental / 12V","Other",TRUE,NA,"https://brickset.com/sets/707A-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/707A-1.jpg","https://images.brickset.com/sets/images/707A-1.jpg",NA,NA,NA,NA
7354,"WEETABIX1",1,"Weetabix Castle",1970,"LEGOLAND","Vintage","Promotional","Other",TRUE,471,"https://brickset.com/sets/WEETABIX1-1",0,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/WEETABIX1-1.jpg","https://images.brickset.com/sets/images/WEETABIX1-1.jpg",NA,NA,NA,NA
