"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","height","width","depth"
137,"1096",1,"Race Buggy",1999,"Town","Modern day","Extreme Team","Normal",TRUE,23,1,"https://brickset.com/sets/1096-1",0,2,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1096-1.jpg","https://images.brickset.com/sets/images/1096-1.jpg",NA,NA,NA,NA,NA,NA,9.6,9.6,3.9
138,"1097",1,"Res-Q Runner",1999,"Town","Modern day","Res-Q","Normal",TRUE,18,1,"https://brickset.com/sets/1097-1",0,1,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1097-1.jpg","https://images.brickset.com/sets/images/1097-1.jpg",NA,NA,NA,NA,NA,NA,9.6,9.6,3.9
139,"1098",1,"Hang Glider",1999,"Town","Modern day","Extreme Team","Normal",TRUE,19,1,"https://brickset.com/sets/1098-1",0,1,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1098-1.jpg","https://images.brickset.com/sets/images/1098-1.jpg",NA,NA,NA,NA,NA,NA,9.6,9.6,3.9
140,"1099",1,"Ninja Blaster",1999,"Castle","Historical","Ninja","Normal",TRUE,24,1,"https://brickset.com/sets/1099-1",0,2,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1099-1.jpg","https://images.brickset.com/sets/images/1099-1.jpg",NA,NA,NA,NA,NA,NA,9.6,9.6,3.9
149,"1106",2,"Basic Building Set, 5+",1999,"Basic","Basic",NA,"Normal",TRUE,411,2,"https://brickset.com/sets/1106-2",0,0,"Box","Retail",NA,"https://images.brickset.com/sets/small/1106-2.jpg","https://images.brickset.com/sets/images/1106-2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA
166,"1127",1,"Santa",1999,"Seasonal","Miscellaneous","Christmas","Normal",TRUE,39,NA,"https://brickset.com/sets/1127-1",0,3,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1127-1.jpg","https://images.brickset.com/sets/images/1127-1.jpg",NA,NA,NA,NA,NA,NA,7.2,9.6,4.8
167,"1128",1,"Skiing Santa",1999,"Seasonal","Miscellaneous","Christmas","Normal",TRUE,21,NA,"https://brickset.com/sets/1128-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1128-1.jpg","https://images.brickset.com/sets/images/1128-1.jpg",NA,NA,NA,NA,NA,NA,7.2,9.6,4.8
168,"1129",1,"Santa on Reindeer",1999,"Seasonal","Miscellaneous","Christmas","Normal",TRUE,34,NA,"https://brickset.com/sets/1129-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1129-1.jpg","https://images.brickset.com/sets/images/1129-1.jpg",NA,NA,NA,NA,NA,NA,7.2,9.6,4.8
175,"1180",1,"Space Port Moon Buggy",1999,"Town","Modern day","Space Port","Normal",TRUE,25,1,"https://brickset.com/sets/1180-1",3.2,3,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1180-1.jpg","https://images.brickset.com/sets/images/1180-1.jpg",NA,NA,NA,NA,NA,NA,7.2,7.2,4.8
176,"1181",1,"Space Jet",1999,"Town","Modern day","Space Port","Normal",TRUE,23,1,"https://brickset.com/sets/1181-1",0,1,"Box","Promotional",6,"https://images.brickset.com/sets/small/1181-1.jpg","https://images.brickset.com/sets/images/1181-1.jpg",NA,NA,NA,NA,NA,NA,7.2,7.2,4.8
177,"1182",1,"Adventurers Raft",1999,"Adventurers","Historical","Desert","Normal",TRUE,18,1,"https://brickset.com/sets/1182-1",3.3,6,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1182-1.jpg","https://images.brickset.com/sets/images/1182-1.jpg",NA,NA,NA,NA,NA,NA,7.2,7.2,4.8
178,"1183",1,"Mummy and Cart",1999,"Adventurers","Historical","Desert","Normal",TRUE,17,1,"https://brickset.com/sets/1183-1",4,4,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1183-1.jpg","https://images.brickset.com/sets/images/1183-1.jpg",NA,NA,NA,NA,NA,NA,7.2,7.2,4.8
179,"1184",1,"Cart",1999,"Castle","Historical","Ninja","Normal",TRUE,24,1,"https://brickset.com/sets/1184-1",0,4,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1184-1.jpg","https://images.brickset.com/sets/images/1184-1.jpg",NA,NA,NA,NA,NA,NA,7.2,7.2,4.8
180,"1185",1,"Raft",1999,"Castle","Historical","Ninja","Normal",TRUE,25,1,"https://brickset.com/sets/1185-1",3.3,4,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1185-1.jpg","https://images.brickset.com/sets/images/1185-1.jpg",NA,NA,NA,NA,NA,NA,7.2,7.2,4.8
181,"1186",1,"Cart",1999,"Castle","Historical","Ninja","Normal",TRUE,25,1,"https://brickset.com/sets/1186-1",3.7,4,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1186-1.jpg","https://images.brickset.com/sets/images/1186-1.jpg",NA,NA,NA,NA,NA,NA,7.2,7.2,4.8
182,"1187",1,"Glider",1999,"Castle","Historical","Ninja","Normal",TRUE,23,1,"https://brickset.com/sets/1187-1",3.7,8,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1187-1.jpg","https://images.brickset.com/sets/images/1187-1.jpg",NA,NA,NA,NA,NA,NA,7.2,7.2,4.8
183,"1188",1,"Fire Formula",1999,"Town","Modern day","Extreme Team","Normal",TRUE,38,1,"https://brickset.com/sets/1188-1",0,0,"Polybag","Promotional",NA,"https://images.brickset.com/sets/small/1188-1.jpg","https://images.brickset.com/sets/images/1188-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA
184,"1189",1,"Rocket Boat",1999,"Town","Modern day","Extreme Team","Normal",TRUE,30,1,"https://brickset.com/sets/1189-1",0,1,"Polybag","Promotional",NA,"https://images.brickset.com/sets/small/1189-1.jpg","https://images.brickset.com/sets/images/1189-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA
185,"1190",1,"Retro Buggy",1999,"Town","Modern day","Extreme Team","Normal",TRUE,45,1,"https://brickset.com/sets/1190-1",0,0,"Polybag","Promotional",NA,"https://images.brickset.com/sets/small/1190-1.jpg","https://images.brickset.com/sets/images/1190-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA
186,"1191",1,"Try Bird",1999,"Town","Modern day","Extreme Team","Normal",TRUE,34,1,"https://brickset.com/sets/1191-1",0,0,"Polybag","Promotional",NA,"https://images.brickset.com/sets/small/1191-1.jpg","https://images.brickset.com/sets/images/1191-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA
187,"1192",1,"Stack N' Learn Gift Box",1999,"Primo","Pre-school",NA,"Normal",TRUE,38,2,"https://brickset.com/sets/1192-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1192-1.jpg","https://images.brickset.com/sets/images/1192-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA
4999,"1193",1,"Water Park Tub ",1999,"Duplo","Pre-school",NA,"Normal",TRUE,44,2,"https://brickset.com/sets/1193-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1193-1.jpg","https://images.brickset.com/sets/images/1193-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA
5000,"1194",1,"Birthday Table Set",1999,"Classic","Basic",NA,"Normal",TRUE,400,NA,"https://brickset.com/sets/1194-1",0,2,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1194-1.jpg","https://images.brickset.com/sets/images/1194-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA
198,"1246",1,"Helicopter",1999,"Town","Modern day","City","Normal",TRUE,26,1,"https://brickset.com/sets/1246-1",0,2,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1246-1.jpg","https://images.brickset.com/sets/images/1246-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA
199,"1247",1,"Patrol Car",1999,"Town","Modern day","City","Normal",TRUE,32,1,"https://brickset.com/sets/1247-1",3.2,7,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1247-1.jpg","https://images.brickset.com/sets/images/1247-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA
200,"1248",1,"Fire Boat",1999,"Town","Modern day","City","Normal",TRUE,24,1,"https://brickset.com/sets/1248-1",2.7,2,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1248-1.jpg","https://images.brickset.com/sets/images/1248-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA
201,"1249",1,"Tri-motorbike",1999,"Town","Modern day","City","Normal",TRUE,14,1,"https://brickset.com/sets/1249-1",3.5,4,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1249-1.jpg","https://images.brickset.com/sets/images/1249-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA
202,"1250",1,"Dragster",1999,"Town","Modern day","City","Normal",TRUE,25,1,"https://brickset.com/sets/1250-1",3.1,2,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1250-1.jpg","https://images.brickset.com/sets/images/1250-1.jpg",NA,NA,NA,NA,NA,NA,9.6,9.6,3.9
203,"1251",1,"Go-Cart",1999,"Town","Modern day","City","Normal",TRUE,26,1,"https://brickset.com/sets/1251-1",0,4,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1251-1.jpg","https://images.brickset.com/sets/images/1251-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA
204,"1252",1,"Shell Tanker",1999,"Town","Modern day","Shell","Normal",TRUE,107,1,"https://brickset.com/sets/1252-1",3.8,5,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1252-1.jpg","https://images.brickset.com/sets/images/1252-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA
205,"1253",1,"Shell Race Car Transporter",1999,"Town","Modern day","Shell","Normal",TRUE,102,1,"https://brickset.com/sets/1253-1",3.3,3,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1253-1.jpg","https://images.brickset.com/sets/images/1253-1.jpg",NA,NA,NA,NA,NA,NA,9.6,19.2,6
206,"1254",1,"Shell Convenience Store",1999,"Town","Modern day","Shell","Normal",TRUE,159,3,"https://brickset.com/sets/1254-1",4.1,8,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1254-1.jpg","https://images.brickset.com/sets/images/1254-1.jpg",NA,NA,NA,NA,NA,NA,19.2,28.8,4.8
207,"1255",1,"Shell Car Wash",1999,"Town","Modern day","Shell","Normal",TRUE,137,2,"https://brickset.com/sets/1255-1",4.1,5,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1255-1.jpg","https://images.brickset.com/sets/images/1255-1.jpg",NA,NA,NA,NA,NA,NA,19.2,28.8,4.8
208,"1256",1,"Shell Service Station",1999,"Town","Modern day","Shell","Normal",TRUE,144,2,"https://brickset.com/sets/1256-1",4.1,6,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1256-1.jpg","https://images.brickset.com/sets/images/1256-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA
209,"1257",1,"Tricycle",1999,"Technic","Technical",NA,"Normal",TRUE,24,NA,"https://brickset.com/sets/1257-1",0,1,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1257-1.jpg","https://images.brickset.com/sets/images/1257-1.jpg",NA,NA,NA,NA,NA,NA,7.2,9.6,4.8
210,"1258",1,"Propeller Car",1999,"Technic","Technical",NA,"Normal",TRUE,29,NA,"https://brickset.com/sets/1258-1",0,2,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1258-1.jpg","https://images.brickset.com/sets/images/1258-1.jpg",NA,NA,NA,NA,NA,NA,7.2,9.6,4.8
211,"1259",1,"Motorbike",1999,"Technic","Technical",NA,"Normal",TRUE,28,NA,"https://brickset.com/sets/1259-1",0,1,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1259-1.jpg","https://images.brickset.com/sets/images/1259-1.jpg",NA,NA,NA,NA,NA,NA,7.2,9.6,4.8
212,"1260",1,"Car",1999,"Technic","Technical",NA,"Normal",TRUE,26,NA,"https://brickset.com/sets/1260-1",0,1,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1260-1.jpg","https://images.brickset.com/sets/images/1260-1.jpg",NA,NA,NA,NA,NA,NA,7.2,9.6,4.8
216,"1265",1,"Moon Buggy",1999,"Town","Modern day","Space Port","Normal",TRUE,25,1,"https://brickset.com/sets/1265-1",0,1,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1265-1.jpg","https://images.brickset.com/sets/images/1265-1.jpg",NA,NA,NA,NA,NA,NA,9.6,9.6,3.9
217,"1266",1,"Space Probe",1999,"Town","Modern day","Space Port","Normal",TRUE,23,1,"https://brickset.com/sets/1266-1",0,0,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1266-1.jpg","https://images.brickset.com/sets/images/1266-1.jpg",NA,NA,NA,NA,NA,NA,9.6,9.6,3.9
218,"1268",1,"Bike Blaster",1999,"Technic","Technical",NA,"Normal",TRUE,28,NA,"https://brickset.com/sets/1268-1",0,1,"Polybag","Retail - limited",NA,"https://images.brickset.com/sets/small/1268-1.jpg","https://images.brickset.com/sets/images/1268-1.jpg",NA,NA,NA,NA,NA,NA,9.6,9.6,3.9
219,"1269",1,"White Ninja",1999,"Castle","Historical","Ninja","Normal",TRUE,23,1,"https://brickset.com/sets/1269-1",0,4,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1269-1.jpg","https://images.brickset.com/sets/images/1269-1.jpg",NA,NA,NA,NA,NA,NA,9.6,9.6,3.9
220,"1271",1,"Jungle Surprise",1999,"Adventurers","Historical","Jungle","Normal",TRUE,33,1,"https://brickset.com/sets/1271-1",3.8,9,"Box","Unknown",NA,"https://images.brickset.com/sets/small/1271-1.jpg","https://images.brickset.com/sets/images/1271-1.jpg",NA,NA,NA,NA,NA,NA,9.6,9.6,3.9
223,"1274",1,"Light Hover",1999,"Rock Raiders","Action/Adventure","Promotional","Normal",TRUE,25,1,"https://brickset.com/sets/1274-1",0,2,"Polybag","Promotional",5,"https://images.brickset.com/sets/small/1274-1.jpg","https://images.brickset.com/sets/images/1274-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA
224,"1275",1,"Chainsaw Bulldozer",1999,"Rock Raiders","Action/Adventure","Promotional","Normal",TRUE,22,1,"https://brickset.com/sets/1275-1",0,1,"Polybag","Promotional",5,"https://images.brickset.com/sets/small/1275-1.jpg","https://images.brickset.com/sets/images/1275-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA
225,"1276",1,"Helicopter Transport",1999,"Rock Raiders","Action/Adventure","Promotional","Normal",TRUE,22,1,"https://brickset.com/sets/1276-1",0,1,"Polybag","Promotional",5,"https://images.brickset.com/sets/small/1276-1.jpg","https://images.brickset.com/sets/images/1276-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA
226,"1277",1,"Drill Craft",1999,"Rock Raiders","Action/Adventure","Promotional","Normal",TRUE,27,1,"https://brickset.com/sets/1277-1",0,1,"Polybag","Promotional",5,"https://images.brickset.com/sets/small/1277-1.jpg","https://images.brickset.com/sets/images/1277-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA
