"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL","height","width","depth","weight"
675,"1966",1,"Car Repair Shop",1985,"Town","Modern day","Special","Normal",TRUE,296,2,"https://brickset.com/sets/1966-1",3.8,2,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1966-1.jpg","https://images.brickset.com/sets/images/1966-1.jpg",NA,NA,NA,NA
22571,"1967",2,"Town Value Pack",1985,"Town","Modern day","Bonus/Value Pack","Collection",TRUE,149,NA,"https://brickset.com/sets/1967-2",0,0,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1967-2.jpg","https://images.brickset.com/sets/images/1967-2.jpg",NA,NA,NA,NA
681,"1968",1,"Heavy Payload Spacecraft (Schwernutzlast-Raumschiff)",1985,"Space","Action/Adventure","Classic","Normal",TRUE,177,2,"https://brickset.com/sets/1968-1",3.9,8,"Box","Retail - limited",7,"https://images.brickset.com/sets/small/1968-1.jpg","https://images.brickset.com/sets/images/1968-1.jpg",NA,NA,NA,NA
683,"1969",2,"Space Value Pack",1985,"Space","Action/Adventure","Bonus/Value Pack","Collection",TRUE,151,NA,"https://brickset.com/sets/1969-2",0,0,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1969-2.jpg","https://images.brickset.com/sets/images/1969-2.jpg",NA,NA,NA,NA
686,"1972",1,"Go-Kart",1985,"Technic","Technical",NA,"Normal",TRUE,98,NA,"https://brickset.com/sets/1972-1",3.5,1,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1972-1.jpg","https://images.brickset.com/sets/images/1972-1.jpg",NA,NA,NA,NA
22572,"1975",1,"Combi Pack",1985,"Duplo","Pre-school","Bonus/Value Pack","Normal",TRUE,NA,NA,"https://brickset.com/sets/1975-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA
703,"1997",1,"Town Value Pack",1985,"Town","Modern day","Bonus/Value Pack","Collection",TRUE,97,NA,"https://brickset.com/sets/1997-1",0,0,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1997-1.jpg","https://images.brickset.com/sets/images/1997-1.jpg",NA,NA,NA,NA
705,"1999",1,"Space Value Pack",1985,"Space","Action/Adventure","Bonus/Value Pack","Collection",TRUE,84,NA,"https://brickset.com/sets/1999-1",0,0,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1999-1.jpg","https://images.brickset.com/sets/images/1999-1.jpg",NA,NA,NA,NA
732,"2033",1,"Clown Shape Sorter",1985,"Duplo","Pre-school","Baby","Normal",TRUE,7,NA,"https://brickset.com/sets/2033-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA
854,"2301",1,"Baseplates, Red",1985,"Duplo","Pre-school",NA,"Normal",TRUE,2,NA,"https://brickset.com/sets/2301-1",0,0,"{Not specified}","Retail",NA,NA,NA,NA,NA,NA,NA
22573,"2315",1,"Pre-School Basic Building Set",1985,"Duplo","Pre-school",NA,"Normal",TRUE,6,NA,"https://brickset.com/sets/2315-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA
22574,"2403",1,"Fire Chief Building Set",1985,"Duplo","Pre-school",NA,"Normal",TRUE,4,1,"https://brickset.com/sets/2403-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA
22575,"2412",1,"Boat Yard Building Set",1985,"Duplo","Pre-school",NA,"Normal",TRUE,10,2,"https://brickset.com/sets/2412-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA
965,"2610",1,"Yellow Car",1985,"Duplo","Pre-school",NA,"Normal",TRUE,2,1,"https://brickset.com/sets/2610-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA
966,"2611",1,"Fire Engine",1985,"Duplo","Pre-school",NA,"Normal",TRUE,3,1,"https://brickset.com/sets/2611-1",0,0,"Box","Retail",NA,NA,NA,NA,NA,NA,NA
980,"2629",1,"Tractor and Farm Machinery",1985,"Duplo","Pre-school",NA,"Normal",TRUE,7,1,"https://brickset.com/sets/2629-1",0,0,"Box","Retail",NA,"https://images.brickset.com/sets/small/2629-1.jpg","https://images.brickset.com/sets/images/2629-1.jpg",NA,NA,NA,NA
22576,"2631",1,"Stunt Pilot and Plane",1985,"Duplo","Pre-school",NA,"Normal",TRUE,2,1,"https://brickset.com/sets/2631-1",0,0,"Box","Retail",NA,NA,NA,NA,NA,NA,NA
997,"2647",1,"Farm Animals",1985,"Duplo","Pre-school",NA,"Normal",TRUE,17,1,"https://brickset.com/sets/2647-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2647-1.jpg","https://images.brickset.com/sets/images/2647-1.jpg",NA,NA,NA,NA
1005,"2655",1,"Farm Set",1985,"Duplo","Pre-school",NA,"Normal",TRUE,54,2,"https://brickset.com/sets/2655-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2655-1.jpg","https://images.brickset.com/sets/images/2655-1.jpg",NA,NA,NA,NA
7677,"3624",1,"Flower Car",1985,"Fabuland","Junior",NA,"Normal",TRUE,19,1,"https://brickset.com/sets/3624-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3624-1.jpg","https://images.brickset.com/sets/images/3624-1.jpg",NA,NA,NA,NA
1692,"3625",1,"Sandy Seagull's Aeroplane",1985,"Fabuland","Junior",NA,"Normal",TRUE,8,1,"https://brickset.com/sets/3625-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3625-1.jpg","https://images.brickset.com/sets/images/3625-1.jpg",NA,NA,NA,NA
1698,"3631",1,"The Fabuland Big Band Peter Pig and Gabriel Gorilla",1985,"Fabuland","Junior",NA,"Normal",TRUE,30,2,"https://brickset.com/sets/3631-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3631-1.jpg","https://images.brickset.com/sets/images/3631-1.jpg",NA,NA,NA,NA
1706,"3641",1,"Car and Camper",1985,"Fabuland","Junior",NA,"Normal",TRUE,22,1,"https://brickset.com/sets/3641-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3641-1.jpg","https://images.brickset.com/sets/images/3641-1.jpg",NA,NA,NA,NA
7678,"3642",1,"Fire Engine",1985,"Fabuland","Junior",NA,"Normal",TRUE,18,1,"https://brickset.com/sets/3642-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3642-1.jpg","https://images.brickset.com/sets/images/3642-1.jpg",NA,NA,NA,NA
1707,"3643",1,"Police Van",1985,"Fabuland","Junior",NA,"Normal",TRUE,9,2,"https://brickset.com/sets/3643-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3643-1.jpg","https://images.brickset.com/sets/images/3643-1.jpg",NA,NA,NA,NA
1722,"3660",1,"Fisherman's Wharf",1985,"Fabuland","Junior",NA,"Normal",TRUE,25,1,"https://brickset.com/sets/3660-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3660-1.jpg","https://images.brickset.com/sets/images/3660-1.jpg",NA,NA,NA,NA
1734,"3673",1,"Paddle Steamer",1985,"Fabuland","Junior",NA,"Normal",TRUE,61,3,"https://brickset.com/sets/3673-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3673-1.jpg","https://images.brickset.com/sets/images/3673-1.jpg",NA,NA,NA,NA
1741,"3681",1,"Amusement Park",1985,"Fabuland","Junior",NA,"Normal",TRUE,99,4,"https://brickset.com/sets/3681-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3681-1.jpg","https://images.brickset.com/sets/images/3681-1.jpg",NA,NA,NA,NA
1760,"3714",1,"Workman and Barrow",1985,"Fabuland","Junior",NA,"Normal",TRUE,6,1,"https://brickset.com/sets/3714-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3714-1.jpg","https://images.brickset.com/sets/images/3714-1.jpg",NA,NA,NA,NA
1761,"3715",1,"Hannah's Flower Stand",1985,"Fabuland","Junior",NA,"Normal",TRUE,14,1,"https://brickset.com/sets/3715-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3715-1.jpg","https://images.brickset.com/sets/images/3715-1.jpg",NA,NA,NA,NA
1762,"3716",1,"Telephone",1985,"Fabuland","Junior",NA,"Normal",TRUE,8,1,"https://brickset.com/sets/3716-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3716-1.jpg","https://images.brickset.com/sets/images/3716-1.jpg",NA,NA,NA,NA
1763,"3717",1,"Mouse in a Tub Fishing",1985,"Fabuland","Junior",NA,"Normal",TRUE,9,1,"https://brickset.com/sets/3717-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3717-1.jpg","https://images.brickset.com/sets/images/3717-1.jpg",NA,NA,NA,NA
1819,"3792",1,"Bedroom",1985,"Fabuland","Junior",NA,"Normal",TRUE,14,1,"https://brickset.com/sets/3792-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3792-1.jpg","https://images.brickset.com/sets/images/3792-1.jpg",NA,NA,NA,NA
1820,"3793",1,"Boris Bulldog and Mailbox",1985,"Fabuland","Junior",NA,"Normal",TRUE,12,1,"https://brickset.com/sets/3793-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3793-1.jpg","https://images.brickset.com/sets/images/3793-1.jpg",NA,NA,NA,NA
