"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","thumbnailURL","imageURL","height","width","depth"
7992,"387",1,"Excavator and Dumper",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,159,NA,"https://brickset.com/sets/387-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/387-1.jpg","https://images.brickset.com/sets/images/387-1.jpg",NA,NA,NA
6027,"393",1,"Norton Motorcycle",1976,"Hobby Set","Vintage",NA,"Normal",TRUE,133,NA,"https://brickset.com/sets/393-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/393-1.jpg","https://images.brickset.com/sets/images/393-1.jpg",NA,NA,NA
6028,"394",1,"Harley-Davidson 1000cc",1976,"Hobby Set","Vintage",NA,"Normal",TRUE,143,NA,"https://brickset.com/sets/394-1",0,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/394-1.jpg","https://images.brickset.com/sets/images/394-1.jpg",NA,NA,NA
6029,"395",1,"1909 Rolls-Royce",1976,"Hobby Set","Vintage",NA,"Normal",TRUE,281,NA,"https://brickset.com/sets/395-1",3.9,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/395-1.jpg","https://images.brickset.com/sets/images/395-1.jpg",NA,NA,NA
6030,"396",1,"Thatcher Perkins Locomotive",1976,"Hobby Set","Vintage",NA,"Normal",TRUE,438,NA,"https://brickset.com/sets/396-1",0,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/396-1.jpg","https://images.brickset.com/sets/images/396-1.jpg",NA,NA,NA
5272,"425",1,"Fork Lift",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,21,1,"https://brickset.com/sets/425-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/425-1.jpg","https://images.brickset.com/sets/images/425-1.jpg",NA,NA,NA
5233,"435",1,"Tipper Truck",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,17,NA,"https://brickset.com/sets/435-1",3.5,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/435-1.jpg","https://images.brickset.com/sets/images/435-1.jpg",NA,NA,NA
5273,"445",1,"Police Units",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,39,2,"https://brickset.com/sets/445-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/445-1.jpg","https://images.brickset.com/sets/images/445-1.jpg",6.5,15,4
5274,"455",1,"Learjet",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,46,NA,"https://brickset.com/sets/455-1",0,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/455-1.jpg","https://images.brickset.com/sets/images/455-1.jpg",NA,NA,NA
5277,"485",1,"Fire Truck",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,72,3,"https://brickset.com/sets/485-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/485-1.jpg","https://images.brickset.com/sets/images/485-1.jpg",NA,NA,NA
7485,"530",2,"Puppy",1976,"Duplo","Pre-school",NA,"Normal",TRUE,9,NA,"https://brickset.com/sets/530-2",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/530-2.jpg","https://images.brickset.com/sets/images/530-2.jpg",NA,NA,NA
7486,"531",1,"Elephants",1976,"Duplo","Pre-school",NA,"Normal",TRUE,20,NA,"https://brickset.com/sets/531-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/531-1.jpg","https://images.brickset.com/sets/images/531-1.jpg",NA,NA,NA
2711,"532",1,"Pull-Along Ducks",1976,"Duplo","Pre-school",NA,"Normal",TRUE,19,NA,"https://brickset.com/sets/532-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/532-1.jpg","https://images.brickset.com/sets/images/532-1.jpg",NA,NA,NA
5281,"550",2,"Windmill",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,210,2,"https://brickset.com/sets/550-2",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/550-2.jpg","https://images.brickset.com/sets/images/550-2.jpg",NA,NA,NA
2807,"555",1,"Hospital",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,202,7,"https://brickset.com/sets/555-1",0,3,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/555-1.jpg","https://images.brickset.com/sets/images/555-1.jpg",NA,NA,NA
5282,"565",1,"Moon Landing",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,364,NA,"https://brickset.com/sets/565-1",3.9,6,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/565-1.jpg","https://images.brickset.com/sets/images/565-1.jpg",NA,NA,NA
5285,"585",1,"Police Headquarters",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,300,4,"https://brickset.com/sets/585-1",0,3,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/585-1.jpg","https://images.brickset.com/sets/images/585-1.jpg",NA,NA,NA
7204,"616",1,"Cargo Ship",1976,"Basic","Basic","Model","Normal",TRUE,31,NA,"https://brickset.com/sets/616-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/616-1.jpg","https://images.brickset.com/sets/images/616-1.jpg",NA,NA,NA
7487,"617",1,"Cowboys",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,42,1,"https://brickset.com/sets/617-1",0,3,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/617-1.jpg","https://images.brickset.com/sets/images/617-1.jpg",NA,NA,NA
7488,"661",1,"Spirit of St. Louis",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,51,NA,"https://brickset.com/sets/661-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/661-1.jpg","https://images.brickset.com/sets/images/661-1.jpg",NA,NA,NA
5096,"662",1,"Dump Truck",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,27,NA,"https://brickset.com/sets/662-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/662-1.jpg","https://images.brickset.com/sets/images/662-1.jpg",NA,NA,NA
7489,"695",1,"Racing Car",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,67,NA,"https://brickset.com/sets/695-1",0,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/695-1.jpg","https://images.brickset.com/sets/images/695-1.jpg",NA,NA,NA
5094,"696",1,"Bus Station",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,80,7,"https://brickset.com/sets/696-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/696-1.jpg","https://images.brickset.com/sets/images/696-1.jpg",NA,NA,NA
7492,"697",1,"Stage Coach",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,95,1,"https://brickset.com/sets/697-1",0,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/697-1.jpg","https://images.brickset.com/sets/images/697-1.jpg",NA,NA,NA
7493,"726",1,"Western Train",1976,"Trains","Modern day","4.5/12V","Normal",TRUE,291,2,"https://brickset.com/sets/726-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/726-1.jpg","https://images.brickset.com/sets/images/726-1.jpg",NA,NA,NA
5279,"770",1,"Rescue Set",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,151,3,"https://brickset.com/sets/770-1",0,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/770-1.jpg","https://images.brickset.com/sets/images/770-1.jpg",NA,NA,NA
5280,"780",1,"Road Construction Set",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,164,NA,"https://brickset.com/sets/780-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/780-1.jpg","https://images.brickset.com/sets/images/780-1.jpg",NA,NA,NA
4523,"901",1,"Universal Motor Set",1976,"Universal Building Set","Basic",NA,"Normal",TRUE,31,NA,"https://brickset.com/sets/901-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/901-1.jpg","https://images.brickset.com/sets/images/901-1.jpg",NA,NA,NA
4524,"910",1,"Advanced Basic Set, 6+",1976,"Basic","Basic",NA,"Normal",TRUE,283,3,"https://brickset.com/sets/910-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/910-1.jpg","https://images.brickset.com/sets/images/910-1.jpg",NA,NA,NA
4525,"911",1,"Advanced Basic Set, 6+",1976,"Basic","Basic",NA,"Normal",TRUE,401,4,"https://brickset.com/sets/911-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/911-1.jpg","https://images.brickset.com/sets/images/911-1.jpg",NA,NA,NA
4526,"912",1,"Advanced Basic Set with Motor, 6+",1976,"Basic","Basic",NA,"Normal",TRUE,471,3,"https://brickset.com/sets/912-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/912-1.jpg","https://images.brickset.com/sets/images/912-1.jpg",NA,NA,NA
7813,"1011",1,"LEGO Number/Symbol Blocks",1976,"Dacta","Educational",NA,"Normal",TRUE,100,NA,"https://brickset.com/sets/1011-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/1011-1.jpg","https://images.brickset.com/sets/images/1011-1.jpg",NA,NA,NA
7819,"1017",1,"Letter Bricks for Wall Board",1976,"Dacta","Educational",NA,"Normal",TRUE,150,NA,"https://brickset.com/sets/1017-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/1017-1.jpg","https://images.brickset.com/sets/images/1017-1.jpg",NA,NA,NA
7840,"1045",2,"Educational LEGO Building Set",1976,"Dacta","Educational",NA,"Normal",TRUE,683,NA,"https://brickset.com/sets/1045-2",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA
6131,"1074",1,"House Accessories",1976,"Dacta","Educational","Supplementary Set","Normal",TRUE,204,NA,"https://brickset.com/sets/1074-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/1074-1.jpg","https://images.brickset.com/sets/images/1074-1.jpg",NA,NA,NA
7861,"1077",1,"Supplementary Set",1976,"Dacta","Educational",NA,"Normal",TRUE,198,NA,"https://brickset.com/sets/1077-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/1077-1.jpg","https://images.brickset.com/sets/images/1077-1.jpg",NA,NA,NA
418,"1560",2,"Lufthansa Boeing 727",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,26,NA,"https://brickset.com/sets/1560-2",0,0,"{Not specified}","Promotional (Airline)","https://images.brickset.com/sets/small/1560-2.jpg","https://images.brickset.com/sets/images/1560-2.jpg",NA,NA,NA
420,"1561",2,"Airline Staff",1976,"Building Set with People","Vintage",NA,"Normal",TRUE,30,NA,"https://brickset.com/sets/1561-2",0,1,"{Not specified}","Promotional (Airline)","https://images.brickset.com/sets/small/1561-2.jpg","https://images.brickset.com/sets/images/1561-2.jpg",NA,NA,NA
422,"1562",3,"Biplane",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,25,NA,"https://brickset.com/sets/1562-3",0,0,"{Not specified}","Promotional (Airline)","https://images.brickset.com/sets/small/1562-3.jpg","https://images.brickset.com/sets/images/1562-3.jpg",NA,NA,NA
445,"1601",1,"Factory",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,194,2,"https://brickset.com/sets/1601-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/1601-1.jpg","https://images.brickset.com/sets/images/1601-1.jpg",NA,NA,NA
7494,"WEETABIX2",1,"Windmill",1976,"Basic","Basic",NA,"Other",TRUE,119,NA,"https://brickset.com/sets/WEETABIX2-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/WEETABIX2-1.jpg","https://images.brickset.com/sets/images/WEETABIX2-1.jpg",NA,NA,NA
7495,"WEETABIX3",1,"House",1976,"Basic","Basic",NA,"Other",TRUE,140,2,"https://brickset.com/sets/WEETABIX3-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/WEETABIX3-1.jpg","https://images.brickset.com/sets/images/WEETABIX3-1.jpg",NA,NA,NA
7496,"WEETABIX4",1,"House",1976,"Basic","Basic",NA,"Other",TRUE,143,2,"https://brickset.com/sets/WEETABIX4-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/WEETABIX4-1.jpg","https://images.brickset.com/sets/images/WEETABIX4-1.jpg",NA,NA,NA
