"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","CA_retailPrice","CA_dateFirstAvailable","CA_dateLastAvailable","weight"
672,"1958",1,"Windsurfer",1993,"Town","Modern day","Leisure","Normal",TRUE,21,1,"https://brickset.com/sets/1958-1",3.7,3,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1958-1.jpg","https://images.brickset.com/sets/images/1958-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
673,"1959",1,"Ultra-Light",1993,"Town","Modern day","Leisure","Normal",TRUE,30,1,"https://brickset.com/sets/1959-1",0,0,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1959-1.jpg","https://images.brickset.com/sets/images/1959-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
674,"1960",1,"Magical Adventure Pack",1993,"Castle","Historical","Bonus/Value Pack","Collection",TRUE,204,NA,"https://brickset.com/sets/1960-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
676,"1967",1,"Five Set Bonus Pack",1993,"Assorted","Miscellaneous","Bonus/Value Pack","Collection",TRUE,156,NA,"https://brickset.com/sets/1967-1",0,2,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1967-1.jpg","https://images.brickset.com/sets/images/1967-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
682,"1969",1,"Mini Robot",1993,"Space","Action/Adventure","Space Police 2","Normal",TRUE,38,1,"https://brickset.com/sets/1969-1",3.4,2,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1969-1.jpg","https://images.brickset.com/sets/images/1969-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
684,"1970",1,"Pirates Gun Cart",1993,"Pirates","Historical",NA,"Normal",TRUE,31,2,"https://brickset.com/sets/1970-1",3.2,1,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1970-1.jpg","https://images.brickset.com/sets/images/1970-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
685,"1971",1,"Battering Ram",1993,"Castle","Historical","Black Knights","Normal",TRUE,36,1,"https://brickset.com/sets/1971-1",3.7,2,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1971-1.jpg","https://images.brickset.com/sets/images/1971-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
697,"1990",1,"Octan F1 Race Car",1993,"Town","Modern day","Racing","Normal",TRUE,35,1,"https://brickset.com/sets/1990-1",3,1,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1990-1.jpg","https://images.brickset.com/sets/images/1990-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
698,"1991",1,"Racing Pick-Up Truck",1993,"Town","Modern day","Racing","Normal",TRUE,81,1,"https://brickset.com/sets/1991-1",0,0,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1991-1.jpg","https://images.brickset.com/sets/images/1991-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
699,"1992",1,"Dragsters",1993,"Town","Modern day","Racing","Normal",TRUE,104,2,"https://brickset.com/sets/1992-1",0,1,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1992-1.jpg","https://images.brickset.com/sets/images/1992-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
