"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","CA_retailPrice","CA_dateFirstAvailable","CA_dateLastAvailable","height","width","depth","weight"
4973,"4414",1,"Creator Half Tub Blue",2004,"Creator","Model making","Bucket","Normal",TRUE,500,NA,"https://brickset.com/sets/4414-1",0,0,"Tub","Retail",NA,"https://images.brickset.com/sets/small/4414-1.jpg","https://images.brickset.com/sets/images/4414-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2105,"4425",1,"Better Building More Fun",2004,"Creator","Model making","Bucket","Normal",TRUE,2000,NA,"https://brickset.com/sets/4425-1",0,0,"Tub","Retail",NA,"https://images.brickset.com/sets/small/4425-1.jpg","https://images.brickset.com/sets/images/4425-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2153,"4492",1,"Star Destroyer",2004,"Star Wars","Licensed","Mini Building Set","Normal",TRUE,87,NA,"https://brickset.com/sets/4492-1",3.7,16,"Blister pack","Retail",NA,"https://images.brickset.com/sets/small/4492-1.jpg","https://images.brickset.com/sets/images/4492-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,14.4,4.4,NA
2154,"4493",1,"Sith Infiltrator",2004,"Star Wars","Licensed","Mini Building Set","Normal",TRUE,55,NA,"https://brickset.com/sets/4493-1",3.4,5,"Blister pack","Retail",NA,"https://images.brickset.com/sets/small/4493-1.jpg","https://images.brickset.com/sets/images/4493-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,14.4,4.4,NA
2155,"4494",1,"Imperial Shuttle",2004,"Star Wars","Licensed","Mini Building Set","Normal",TRUE,82,NA,"https://brickset.com/sets/4494-1",3.9,10,"Blister pack","Retail",NA,"https://images.brickset.com/sets/small/4494-1.jpg","https://images.brickset.com/sets/images/4494-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,14.4,4.4,NA
2156,"4495",1,"AT-TE",2004,"Star Wars","Licensed","Mini Building Set","Normal",TRUE,63,NA,"https://brickset.com/sets/4495-1",3.6,8,"Blister pack","Retail",NA,"https://images.brickset.com/sets/small/4495-1.jpg","https://images.brickset.com/sets/images/4495-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,14.4,4.4,NA
2157,"4496",1,"Fun with Building Tub",2004,"Creator","Model making","Bucket","Normal",TRUE,1000,NA,"https://brickset.com/sets/4496-1",0,5,"Tub","Retail",NA,"https://images.brickset.com/sets/small/4496-1.jpg","https://images.brickset.com/sets/images/4496-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2,37.6,27.3,NA
2158,"4497",1,"Pretend and Create",2004,"Creator","Model making","Bucket","Normal",TRUE,1000,NA,"https://brickset.com/sets/4497-1",0,0,"Tub","Retail",NA,"https://images.brickset.com/sets/small/4497-1.jpg","https://images.brickset.com/sets/images/4497-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2,37.6,27.3,NA
2160,"4500",1,"Rebel Snowspeeder",2004,"Star Wars","Licensed","Episode V","Normal",TRUE,214,3,"https://brickset.com/sets/4500-1",4,45,"Box","Retail",NA,"https://images.brickset.com/sets/small/4500-1.jpg","https://images.brickset.com/sets/images/4500-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2,28.8,6,0.28
2161,"4501",1,"Mos Eisley Cantina",2004,"Star Wars","Licensed","Episode IV","Normal",TRUE,193,5,"https://brickset.com/sets/4501-1",4.1,35,"Box","Retail",NA,"https://images.brickset.com/sets/small/4501-1.jpg","https://images.brickset.com/sets/images/4501-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8,28.8,7.2,NA
2162,"4502",1,"X-wing Fighter",2004,"Star Wars","Licensed","Episode V","Normal",TRUE,563,3,"https://brickset.com/sets/4502-1",4.3,42,"Box","Retail",NA,"https://images.brickset.com/sets/small/4502-1.jpg","https://images.brickset.com/sets/images/4502-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8,38.4,7.2,0.74
2163,"4504",1,"Millennium Falcon",2004,"Star Wars","Licensed","Episode V","Normal",TRUE,985,5,"https://brickset.com/sets/4504-1",4.4,48,"Box","Retail",NA,"https://images.brickset.com/sets/small/4504-1.jpg","https://images.brickset.com/sets/images/4504-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.4,57.6,9.6,1.83
2164,"4505",1,"Sea Machines",2004,"Creator","Model making","Designer Set","Normal",TRUE,168,NA,"https://brickset.com/sets/4505-1",0,3,"Box","Retail",NA,"https://images.brickset.com/sets/small/4505-1.jpg","https://images.brickset.com/sets/images/4505-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2,14.4,6,0.17
2165,"4506",1,"Deep Sea Predators",2004,"Creator","Model making","Designer Set","Normal",TRUE,352,NA,"https://brickset.com/sets/4506-1",4.2,5,"Box","Retail",NA,"https://images.brickset.com/sets/small/4506-1.jpg","https://images.brickset.com/sets/images/4506-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8,28.8,6,0.65
2166,"4507",1,"Prehistoric Creatures",2004,"Creator","Model making","Designer Set","Normal",TRUE,726,NA,"https://brickset.com/sets/4507-1",4.4,34,"Box","Retail",NA,"https://images.brickset.com/sets/small/4507-1.jpg","https://images.brickset.com/sets/images/4507-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8,38.4,7.2,1.03
2167,"4508",1,"Titan XP",2004,"Creator","Model making","Designer Set","Normal",TRUE,782,NA,"https://brickset.com/sets/4508-1",4.5,19,"Box","Retail",NA,"https://images.brickset.com/sets/small/4508-1.jpg","https://images.brickset.com/sets/images/4508-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.4,38.4,7.2,1.37
2168,"4509",1,"3-Seat Playtable",2004,"Gear","Miscellaneous","Furniture","Gear",TRUE,NA,NA,"https://brickset.com/sets/4509-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/4509-1.jpg","https://images.brickset.com/sets/images/4509-1.jpg",249.99,"2007-10-24T00:00:00Z","2008-09-11T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2174,"4518",1,"Creator Value Pack",2004,"Creator","Model making",NA,"Normal",TRUE,800,NA,"https://brickset.com/sets/4518-1",0,1,"Box","Retail",NA,"https://images.brickset.com/sets/small/4518-1.jpg","https://images.brickset.com/sets/images/4518-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8,38.4,7.2,NA
2188,"4538",1,"Special Edition Tub",2004,"Creator","Model making","Bucket","Normal",TRUE,200,NA,"https://brickset.com/sets/4538-1",0,2,"Tub","Promotional",NA,"https://images.brickset.com/sets/small/4538-1.jpg","https://images.brickset.com/sets/images/4538-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
