"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","bricksetURL","rating","reviewCount","packagingType","availability","thumbnailURL","imageURL"
7399,"300",2,"Jumbo Bricks",1972,"Samsonite","Vintage","Jumbo Bricks","Normal",TRUE,30,"https://brickset.com/sets/300-2",0,0,"Box","{Not specified}","https://images.brickset.com/sets/small/300-2.jpg","https://images.brickset.com/sets/images/300-2.jpg"
7400,"352",1,"Windmill and Lorry",1972,"LEGOLAND","Vintage","Building","Normal",TRUE,142,"https://brickset.com/sets/352-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/352-1.jpg","https://images.brickset.com/sets/images/352-1.jpg"
6732,"353",1,"Terrace House with Car and Garage",1972,"LEGOLAND","Vintage","Building","Normal",TRUE,152,"https://brickset.com/sets/353-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/353-1.jpg","https://images.brickset.com/sets/images/353-1.jpg"
5221,"354",1,"Police Heliport",1972,"LEGOLAND","Vintage","Town","Normal",TRUE,168,"https://brickset.com/sets/354-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/354-1.jpg","https://images.brickset.com/sets/images/354-1.jpg"
6121,"355",1,"Town Centre Set with Roadways",1972,"LEGOLAND","Vintage","Town","Normal",TRUE,336,"https://brickset.com/sets/355-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/355-1.jpg","https://images.brickset.com/sets/images/355-1.jpg"
7401,"359",1,"Environment Plate",1972,"Basic","Basic",NA,"Normal",TRUE,1,"https://brickset.com/sets/359-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/359-1.jpg","https://images.brickset.com/sets/images/359-1.jpg"
7402,"378",1,"Tractor",1972,"LEGOLAND","Vintage","Large Vehicle","Normal",TRUE,34,"https://brickset.com/sets/378-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/378-1.jpg","https://images.brickset.com/sets/images/378-1.jpg"
5089,"379",2,"Car and Caravan",1972,"LEGOLAND","Vintage",NA,"Normal",TRUE,93,"https://brickset.com/sets/379-2",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/379-2.jpg","https://images.brickset.com/sets/images/379-2.jpg"
7403,"514",1,"Pre-School Building Set",1972,"Duplo","Pre-school",NA,"Normal",TRUE,17,"https://brickset.com/sets/514-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/514-1.jpg","https://images.brickset.com/sets/images/514-1.jpg"
7404,"606",2,"Tipper Lorry",1972,"LEGOLAND","Vintage","Vehicle","Normal",TRUE,22,"https://brickset.com/sets/606-2",0,0,"Box","{Not specified}","https://images.brickset.com/sets/small/606-2.jpg","https://images.brickset.com/sets/images/606-2.jpg"
