"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","thumbnailURL","imageURL"
4301,"850",1,"Fork-Lift Truck",1977,"Technic","Technical",NA,"Normal",TRUE,210,NA,"https://brickset.com/sets/850-1",3.8,6,"Box","Retail","https://images.brickset.com/sets/small/850-1.jpg","https://images.brickset.com/sets/images/850-1.jpg"
4312,"851",1,"Tractor",1977,"Technic","Technical",NA,"Normal",TRUE,318,NA,"https://brickset.com/sets/851-1",4.4,12,"Box","Retail","https://images.brickset.com/sets/small/851-1.jpg","https://images.brickset.com/sets/images/851-1.jpg"
4323,"852",1,"Helicopter",1977,"Technic","Technical",NA,"Normal",TRUE,364,NA,"https://brickset.com/sets/852-1",4.6,7,"Box","Retail","https://images.brickset.com/sets/small/852-1.jpg","https://images.brickset.com/sets/images/852-1.jpg"
4329,"853",1,"Car Chassis",1977,"Technic","Technical",NA,"Normal",TRUE,601,NA,"https://brickset.com/sets/853-1",4.3,11,"Box","Retail","https://images.brickset.com/sets/small/853-1.jpg","https://images.brickset.com/sets/images/853-1.jpg"
4431,"870",1,"Technical Motor, 4.5V",1977,"Technic","Technical","Supplementary","Normal",TRUE,22,NA,"https://brickset.com/sets/870-1",4,1,"Box","Retail","https://images.brickset.com/sets/small/870-1.jpg","https://images.brickset.com/sets/images/870-1.jpg"
4433,"871",1,"Supplementary Set",1977,"Technic","Technical","Supplementary","Normal",TRUE,78,NA,"https://brickset.com/sets/871-1",0,0,"Box","Retail","https://images.brickset.com/sets/small/871-1.jpg","https://images.brickset.com/sets/images/871-1.jpg"
144,"1102",1,"Four Motor Wheel Bushes",1977,"Service Packs","Miscellaneous",NA,"Normal",TRUE,4,NA,"https://brickset.com/sets/1102-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/1102-1.jpg","https://images.brickset.com/sets/images/1102-1.jpg"
147,"1105",1,"Two Rubber Crawler Tracks",1977,"Service Packs","Miscellaneous",NA,"Normal",TRUE,2,NA,"https://brickset.com/sets/1105-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/1105-1.jpg","https://images.brickset.com/sets/images/1105-1.jpg"
26966,"1109",1,"Magnetic Couplings for Railway Car",1977,"Service Packs","Miscellaneous","Trains","Normal",TRUE,4,NA,"https://brickset.com/sets/1109-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/1109-1.jpg","https://images.brickset.com/sets/images/1109-1.jpg"
153,"1110",1,"Four Locomotive Wheels",1977,"Service Packs","Miscellaneous","Trains","Normal",TRUE,8,NA,"https://brickset.com/sets/1110-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/1110-1.jpg","https://images.brickset.com/sets/images/1110-1.jpg"
27300,"1112",1,"Train Sliding Wheel Blocks",1977,"Service Packs","Miscellaneous","Trains","Normal",TRUE,2,NA,"https://brickset.com/sets/1112-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/1112-1.jpg","https://images.brickset.com/sets/images/1112-1.jpg"
158,"1119",1,"Locomotive Piston Assemblies",1977,"Service Packs","Miscellaneous","Trains","Normal",TRUE,6,NA,"https://brickset.com/sets/1119-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/1119-1.jpg","https://images.brickset.com/sets/images/1119-1.jpg"
161,"1121",1,"Propellers, Wheels and Rotor Unit",1977,"Service Packs","Miscellaneous",NA,"Normal",TRUE,15,NA,"https://brickset.com/sets/1121-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/1121-1.jpg","https://images.brickset.com/sets/images/1121-1.jpg"
164,"1124",1,"Digger Bucket Assembly",1977,"Service Packs","Miscellaneous",NA,"Normal",TRUE,3,NA,"https://brickset.com/sets/1124-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/1124-1.jpg","https://images.brickset.com/sets/images/1124-1.jpg"
27888,"1150",1,"Replacement Motor 12V",1977,"Service Packs","Miscellaneous",NA,"Normal",TRUE,1,NA,"https://brickset.com/sets/1150-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/1150-1.jpg","https://images.brickset.com/sets/images/1150-1.jpg"
27889,"1151",1,"Train Power Pick-Up Blocks",1977,"Service Packs","Miscellaneous",NA,"Normal",TRUE,2,NA,"https://brickset.com/sets/1151-1",0,0,"{Not specified}","{Not specified}",NA,NA
27890,"1152",1,"Electric Wire",1977,"Service Packs","Miscellaneous",NA,"Normal",TRUE,2,NA,"https://brickset.com/sets/1152-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/1152-1.jpg","https://images.brickset.com/sets/images/1152-1.jpg"
427,"1575",1,"Finnjet Ferry",1977,"Promotional","Miscellaneous","Ferries","Normal",TRUE,506,NA,"https://brickset.com/sets/1575-1",0,1,"Box","Promotional","https://images.brickset.com/sets/small/1575-1.jpg","https://images.brickset.com/sets/images/1575-1.jpg"
431,"1580",2,"Silja Line Ferry",1977,"Promotional","Miscellaneous","Ferries","Normal",TRUE,414,NA,"https://brickset.com/sets/1580-2",0,0,"Box","Promotional","https://images.brickset.com/sets/small/1580-2.jpg","https://images.brickset.com/sets/images/1580-2.jpg"
33777,"98959",1,"Motor set",1977,"Technic","Technical",NA,"Normal",TRUE,40,NA,"https://brickset.com/sets/98959-1",0,1,"{Not specified}","{Not specified}",NA,NA
