"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","height","width","depth","weight"
22540,"2249",1,"Basic Set",1997,"Duplo","Pre-school",NA,"Normal",TRUE,NA,NA,"https://brickset.com/sets/2249-1",0,0,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
843,"2251",1,"Horse 'n' Home",1997,"Duplo","Pre-school",NA,"Normal",TRUE,72,NA,"https://brickset.com/sets/2251-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
844,"2252",1,"Basic Cannister Set",1997,"Duplo","Pre-school",NA,"Normal",TRUE,36,1,"https://brickset.com/sets/2252-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
846,"2261",1,"Happy Gardener",1997,"Duplo","Pre-school",NA,"Normal",TRUE,10,1,"https://brickset.com/sets/2261-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2261-1.jpg","https://images.brickset.com/sets/images/2261-1.jpg",NA,NA,NA,NA,NA,NA,NA
22463,"2262",1,"Basic Set",1997,"Duplo","Pre-school",NA,"Normal",TRUE,20,1,"https://brickset.com/sets/2262-1",0,0,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/2262-1.jpg","https://images.brickset.com/sets/images/2262-1.jpg",NA,NA,NA,NA,NA,NA,NA
22462,"2264",1,"Medium Bucket",1997,"Duplo","Pre-school",NA,"Normal",TRUE,48,1,"https://brickset.com/sets/2264-1",0,0,"Bucket","Retail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22464,"2265",1,"Large Puppy Clearpack",1997,"Duplo","Pre-school",NA,"Normal",TRUE,71,NA,"https://brickset.com/sets/2265-1",0,0,"Canister","Retail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5800,"2266",1,"Extra Large Value Bucket",1997,"Duplo","Pre-school",NA,"Normal",TRUE,91,2,"https://brickset.com/sets/2266-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2266-1.jpg","https://images.brickset.com/sets/images/2266-1.jpg",NA,NA,NA,NA,NA,NA,NA
22465,"2581",1,"School Bus",1997,"Duplo","Pre-school",NA,"Normal",TRUE,70,NA,"https://brickset.com/sets/2581-1",0,0,"Other","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
957,"2601",1,"Mother & Baby",1997,"Duplo","Pre-school",NA,"Normal",TRUE,7,NA,"https://brickset.com/sets/2601-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
958,"2602",1,"Dinosaurs Family Home",1997,"Duplo","Pre-school",NA,"Normal",TRUE,27,2,"https://brickset.com/sets/2602-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2602-1.jpg","https://images.brickset.com/sets/images/2602-1.jpg",NA,NA,NA,NA,NA,NA,NA
649,"2603",1,"Dinosaur Tub",1997,"Duplo","Pre-school",NA,"Normal",TRUE,70,2,"https://brickset.com/sets/2603-1",0,0,"Tub","Retail - limited",2,"https://images.brickset.com/sets/small/2603-1.jpg","https://images.brickset.com/sets/images/2603-1.jpg",NA,NA,NA,NA,NA,NA,NA
959,"2604",1,"Dino World",1997,"Duplo","Pre-school",NA,"Normal",TRUE,58,4,"https://brickset.com/sets/2604-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545,"2605",1,"Dinosaur Park",1997,"Duplo","Pre-school",NA,"Normal",TRUE,42,4,"https://brickset.com/sets/2605-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
960,"2606",1,"Dump Truck",1997,"Duplo","Pre-school",NA,"Normal",TRUE,6,1,"https://brickset.com/sets/2606-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2606-1.jpg","https://images.brickset.com/sets/images/2606-1.jpg",NA,NA,NA,NA,NA,NA,NA
961,"2607",1,"Speed Car",1997,"Duplo","Pre-school",NA,"Normal",TRUE,4,1,"https://brickset.com/sets/2607-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2607-1.jpg","https://images.brickset.com/sets/images/2607-1.jpg",NA,NA,NA,NA,NA,NA,NA
9344,"2684",1,"Dinghy",1997,"Duplo","Pre-school",NA,"Normal",TRUE,3,1,"https://brickset.com/sets/2684-1",0,0,"Box","Retail",NA,"https://images.brickset.com/sets/small/2684-1.jpg","https://images.brickset.com/sets/images/2684-1.jpg",NA,NA,NA,NA,NA,NA,NA
1035,"2687",1,"Harbour",1997,"Duplo","Pre-school",NA,"Normal",TRUE,47,3,"https://brickset.com/sets/2687-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5010,"2761",1,"Pony Stables",1997,"Duplo","Pre-school",NA,"Normal",TRUE,41,2,"https://brickset.com/sets/2761-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5011,"2762",1,"Family Fun Playground",1997,"Duplo","Pre-school",NA,"Normal",TRUE,46,3,"https://brickset.com/sets/2762-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1120,"2805",1,"Pony Club",1997,"Duplo","Pre-school",NA,"Normal",TRUE,13,2,"https://brickset.com/sets/2805-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1121,"2806",1,"Dino Mini Set",1997,"Duplo","Pre-school",NA,"Normal",TRUE,4,1,"https://brickset.com/sets/2806-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2806-1.jpg","https://images.brickset.com/sets/images/2806-1.jpg",NA,NA,NA,NA,NA,NA,NA
1138,"2840",1,"Girl",1997,"Basic","Basic",NA,"Normal",TRUE,10,NA,"https://brickset.com/sets/2840-1",0,0,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/2840-1.jpg","https://images.brickset.com/sets/images/2840-1.jpg",NA,NA,NA,NA,NA,NA,NA
1139,"2841",1,"Boy",1997,"Basic","Basic",NA,"Normal",TRUE,9,NA,"https://brickset.com/sets/2841-1",0,0,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/2841-1.jpg","https://images.brickset.com/sets/images/2841-1.jpg",NA,NA,NA,NA,NA,NA,NA
8142,"2842",1,"Girl",1997,"Basic","Basic",NA,"Normal",TRUE,8,NA,"https://brickset.com/sets/2842-1",0,0,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/2842-1.jpg","https://images.brickset.com/sets/images/2842-1.jpg",NA,NA,NA,NA,NA,NA,NA
31545,"2843",1,"Boy",1997,"Basic","Basic",NA,"Normal",TRUE,8,NA,"https://brickset.com/sets/2843-1",0,0,"Polybag","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22466,"2844",1,"Doggy",1997,"Basic","Basic",NA,"Normal",TRUE,8,NA,"https://brickset.com/sets/2844-1",0,0,"Polybag","Promotional",NA,"https://images.brickset.com/sets/small/2844-1.jpg","https://images.brickset.com/sets/images/2844-1.jpg",NA,NA,NA,NA,NA,NA,NA
1140,"2845",1,"Indian Chief",1997,"Western","Historical","Indians","Normal",TRUE,20,1,"https://brickset.com/sets/2845-1",3.3,2,"Box","Promotional",NA,"https://images.brickset.com/sets/small/2845-1.jpg","https://images.brickset.com/sets/images/2845-1.jpg",NA,NA,NA,NA,NA,NA,NA
1141,"2846",1,"Indian Kayak",1997,"Western","Historical","Indians","Normal",TRUE,18,1,"https://brickset.com/sets/2846-1",3.3,4,"Box","Promotional",NA,"https://images.brickset.com/sets/small/2846-1.jpg","https://images.brickset.com/sets/images/2846-1.jpg",NA,NA,NA,NA,NA,NA,NA
1142,"2847",1,"Flyer",1997,"Space","Action/Adventure","UFO","Normal",TRUE,15,1,"https://brickset.com/sets/2847-1",3.1,7,"Box","Promotional",NA,"https://images.brickset.com/sets/small/2847-1.jpg","https://images.brickset.com/sets/images/2847-1.jpg",NA,NA,NA,NA,NA,NA,NA
1143,"2848",1,"Flying Machine",1997,"Castle","Historical","Fright Knights","Normal",TRUE,19,1,"https://brickset.com/sets/2848-1",3,3,"Box","Promotional",NA,"https://images.brickset.com/sets/small/2848-1.jpg","https://images.brickset.com/sets/images/2848-1.jpg",NA,NA,NA,NA,NA,NA,NA
1144,"2849",1,"Helicopter",1997,"Town","Modern day","Flight","Normal",TRUE,20,1,"https://brickset.com/sets/2849-1",2.6,2,"Box","Promotional",5,"https://images.brickset.com/sets/small/2849-1.jpg","https://images.brickset.com/sets/images/2849-1.jpg",NA,NA,NA,7,7,4.6,0.032
22541,"2851",1,"Medium Dino Bucket",1997,"Duplo","Pre-school",NA,"Normal",TRUE,31,1,"https://brickset.com/sets/2851-1",0,0,"Bucket","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22542,"2852",1,"Large Dino Bucket",1997,"Duplo","Pre-school",NA,"Normal",TRUE,57,2,"https://brickset.com/sets/2852-1",0,0,"Bucket","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1150,"2870",1,"Paradisa Barbeque",1997,"Town","Modern day","Paradisa","Normal",TRUE,19,1,"https://brickset.com/sets/2870-1",3.8,2,"Box","Promotional",NA,"https://images.brickset.com/sets/small/2870-1.jpg","https://images.brickset.com/sets/images/2870-1.jpg",NA,NA,NA,NA,NA,NA,NA
1151,"2871",1,"Diver and Shark",1997,"Town","Modern day","Divers","Normal",TRUE,16,1,"https://brickset.com/sets/2871-1",4,6,"Box","Promotional",NA,"https://images.brickset.com/sets/small/2871-1.jpg","https://images.brickset.com/sets/images/2871-1.jpg",NA,NA,NA,NA,NA,NA,NA
