"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL","weight","height","width","depth"
1691,"3623",1,"Beauty Salon",1988,"Fabuland","Junior",NA,"Normal",TRUE,24,2,"https://brickset.com/sets/3623-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3623-1.jpg","https://images.brickset.com/sets/images/3623-1.jpg",NA,NA,NA,NA
1710,"3646",1,"Catherine Cat in her Kitchen",1988,"Fabuland","Junior",NA,"Normal",TRUE,53,2,"https://brickset.com/sets/3646-1",0,2,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3646-1.jpg","https://images.brickset.com/sets/images/3646-1.jpg",NA,NA,NA,NA
1740,"3680",1,"Caravan and Rowboat",1988,"Fabuland","Junior",NA,"Normal",TRUE,27,3,"https://brickset.com/sets/3680-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3680-1.jpg","https://images.brickset.com/sets/images/3680-1.jpg",NA,NA,NA,NA
1743,"3683",1,"Amusement Park",1988,"Fabuland","Junior",NA,"Normal",TRUE,93,4,"https://brickset.com/sets/3683-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3683-1.jpg","https://images.brickset.com/sets/images/3683-1.jpg",NA,NA,NA,NA
1767,"3721",1,"Clive Crocodile on his Skateboard",1988,"Fabuland","Junior",NA,"Normal",TRUE,10,1,"https://brickset.com/sets/3721-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3721-1.jpg","https://images.brickset.com/sets/images/3721-1.jpg",NA,NA,NA,NA
1825,"3798",1,"Hannah Hippopotamus on a Picnic",1988,"Fabuland","Junior",NA,"Normal",TRUE,24,1,"https://brickset.com/sets/3798-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3798-1.jpg","https://images.brickset.com/sets/images/3798-1.jpg",NA,NA,NA,NA
2595,"5200",1,"Signal Masts and Base Supports",1988,"Service Packs","Miscellaneous","Trains","Normal",TRUE,8,NA,"https://brickset.com/sets/5200-1",0,0,"Polybag","LEGO exclusive",NA,"https://images.brickset.com/sets/small/5200-1.jpg","https://images.brickset.com/sets/images/5200-1.jpg",NA,NA,NA,NA
3007,"6039",1,"Twin-Arm Launcher",1988,"Castle","Historical","Lion Knights","Normal",TRUE,77,2,"https://brickset.com/sets/6039-1",3.9,5,"Box","Retail",NA,"https://images.brickset.com/sets/small/6039-1.jpg","https://images.brickset.com/sets/images/6039-1.jpg",NA,NA,NA,NA
3020,"6054",1,"Forestmen's Hideout",1988,"Castle","Historical","Forestmen","Normal",TRUE,201,2,"https://brickset.com/sets/6054-1",4.4,14,"Box","Retail",NA,"https://images.brickset.com/sets/small/6054-1.jpg","https://images.brickset.com/sets/images/6054-1.jpg",NA,NA,NA,NA
3048,"6085",1,"Black Monarch's Castle",1988,"Castle","Historical","Black Knights","Normal",TRUE,702,12,"https://brickset.com/sets/6085-1",4.7,34,"Box","Retail",NA,"https://images.brickset.com/sets/small/6085-1.jpg","https://images.brickset.com/sets/images/6085-1.jpg",NA,NA,NA,NA
3066,"6103",1,"Castle Mini Figures",1988,"Castle","Historical","Accessories","Normal",TRUE,42,6,"https://brickset.com/sets/6103-1",4.2,9,"Box","Retail",NA,"https://images.brickset.com/sets/small/6103-1.jpg","https://images.brickset.com/sets/images/6103-1.jpg",NA,NA,NA,NA
3156,"6309",1,"Town Mini-Figures",1988,"Town","Modern day","Accessories","Normal",TRUE,37,6,"https://brickset.com/sets/6309-1",3.8,3,"Box","Retail",NA,"https://images.brickset.com/sets/small/6309-1.jpg","https://images.brickset.com/sets/images/6309-1.jpg",NA,NA,NA,NA
3163,"6315",1,"Road Signs",1988,"Town","Modern day","Accessories","Normal",TRUE,11,NA,"https://brickset.com/sets/6315-1",3.6,7,"Box","Retail",NA,"https://images.brickset.com/sets/small/6315-1.jpg","https://images.brickset.com/sets/images/6315-1.jpg",NA,NA,NA,NA
3164,"6316",1,"Flags and Fences",1988,"Town","Modern day","Accessories","Normal",TRUE,38,NA,"https://brickset.com/sets/6316-1",4.1,2,"Box","Retail",NA,"https://images.brickset.com/sets/small/6316-1.jpg","https://images.brickset.com/sets/images/6316-1.jpg",0.049,7.2,14.2,4.6
3165,"6317",1,"Trees and Flowers",1988,"Town","Modern day","Accessories","Normal",TRUE,24,NA,"https://brickset.com/sets/6317-1",4,2,"Box","Retail",NA,"https://images.brickset.com/sets/small/6317-1.jpg","https://images.brickset.com/sets/images/6317-1.jpg",NA,NA,NA,NA
3199,"6349",1,"Holiday Villa",1988,"Town","Modern day","Leisure","Normal",TRUE,205,2,"https://brickset.com/sets/6349-1",4.3,5,"Box","Retail",NA,"https://images.brickset.com/sets/small/6349-1.jpg","https://images.brickset.com/sets/images/6349-1.jpg",NA,NA,NA,NA
3207,"6356",1,"Med-Star Rescue Plane",1988,"Town","Modern day","Medical","Normal",TRUE,159,3,"https://brickset.com/sets/6356-1",4,7,"Box","Retail",NA,"https://images.brickset.com/sets/small/6356-1.jpg","https://images.brickset.com/sets/images/6356-1.jpg",NA,NA,NA,NA
3208,"6357",1,"Stunt 'Copter N' Truck",1988,"Town","Modern day","Vehicles","Normal",TRUE,177,2,"https://brickset.com/sets/6357-1",4,9,"Box","Retail",NA,"https://images.brickset.com/sets/small/6357-1.jpg","https://images.brickset.com/sets/images/6357-1.jpg",NA,NA,NA,NA
3250,"6394",1,"Metro Park & Service Tower",1988,"Town","Modern day","Shops and Services","Normal",TRUE,620,6,"https://brickset.com/sets/6394-1",4.2,11,"Box","Retail",NA,"https://images.brickset.com/sets/small/6394-1.jpg","https://images.brickset.com/sets/images/6394-1.jpg",NA,NA,NA,NA
3251,"6395",1,"Victory Lap Raceway",1988,"Town","Modern day","Racing","Normal",TRUE,606,13,"https://brickset.com/sets/6395-1",4.5,10,"Box","Retail",NA,"https://images.brickset.com/sets/small/6395-1.jpg","https://images.brickset.com/sets/images/6395-1.jpg",NA,NA,NA,NA
3352,"6503",1,"Sprint Racer",1988,"Town","Modern day","Racing","Normal",TRUE,32,1,"https://brickset.com/sets/6503-1",3.6,11,"Box","Retail",NA,"https://images.brickset.com/sets/small/6503-1.jpg","https://images.brickset.com/sets/images/6503-1.jpg",NA,NA,NA,NA
3353,"6504",1,"Tractor",1988,"Town","Modern day","Construction","Normal",TRUE,25,1,"https://brickset.com/sets/6504-1",3.3,4,"Box","Retail",NA,"https://images.brickset.com/sets/small/6504-1.jpg","https://images.brickset.com/sets/images/6504-1.jpg",NA,NA,NA,NA
3354,"6505",1,"Fire Chief's Car",1988,"Town","Modern day","Fire","Normal",TRUE,23,1,"https://brickset.com/sets/6505-1",3,3,"Box","Retail",NA,"https://images.brickset.com/sets/small/6505-1.jpg","https://images.brickset.com/sets/images/6505-1.jpg",NA,NA,NA,NA
3380,"6524",1,"Blizzard Blazer",1988,"Town","Modern day","Maintenance","Normal",TRUE,50,1,"https://brickset.com/sets/6524-1",3.8,3,"Box","Retail",NA,"https://images.brickset.com/sets/small/6524-1.jpg","https://images.brickset.com/sets/images/6524-1.jpg",NA,NA,NA,NA
3445,"6590",1,"Vacation Camper",1988,"Town","Modern day","Leisure","Normal",TRUE,116,2,"https://brickset.com/sets/6590-1",4,6,"Box","Retail",NA,"https://images.brickset.com/sets/small/6590-1.jpg","https://images.brickset.com/sets/images/6590-1.jpg",NA,NA,NA,NA
3495,"6642",1,"Police Helicopter",1988,"Town","Modern day","Police","Normal",TRUE,66,1,"https://brickset.com/sets/6642-1",3.6,3,"Box","Retail",NA,"https://images.brickset.com/sets/small/6642-1.jpg","https://images.brickset.com/sets/images/6642-1.jpg",NA,NA,NA,NA
3496,"6643",1,"Fire Chief's Truck",1988,"Town","Modern day","Fire","Normal",TRUE,74,1,"https://brickset.com/sets/6643-1",3.5,4,"Box","Retail",NA,"https://images.brickset.com/sets/small/6643-1.jpg","https://images.brickset.com/sets/images/6643-1.jpg",NA,NA,NA,NA
3528,"6674",1,"Crane Truck",1988,"Town","Modern day","Vehicles","Normal",TRUE,94,1,"https://brickset.com/sets/6674-1",3.8,1,"Box","Retail",NA,"https://images.brickset.com/sets/small/6674-1.jpg","https://images.brickset.com/sets/images/6674-1.jpg",NA,NA,NA,NA
3529,"6675",1,"Road & Trail 4 x 4",1988,"Town","Modern day","Vehicles","Normal",TRUE,81,1,"https://brickset.com/sets/6675-1",3.9,4,"Box","Retail",NA,"https://images.brickset.com/sets/small/6675-1.jpg","https://images.brickset.com/sets/images/6675-1.jpg",NA,NA,NA,NA
3558,"6703",1,"Minifig Pack",1988,"Space","Action/Adventure","Miscellaneous","Normal",TRUE,42,6,"https://brickset.com/sets/6703-1",4.4,4,"Box","Retail",NA,"https://images.brickset.com/sets/small/6703-1.jpg","https://images.brickset.com/sets/images/6703-1.jpg",NA,NA,NA,NA
3602,"6770",1,"Lunar Transporter Patroller",1988,"Space","Action/Adventure","Futuron","Normal",TRUE,117,1,"https://brickset.com/sets/6770-1",3.6,2,"Box","Retail",NA,"https://images.brickset.com/sets/small/6770-1.jpg","https://images.brickset.com/sets/images/6770-1.jpg",NA,NA,NA,NA
3642,"6828",1,"Twin-Winged Spoiler",1988,"Space","Action/Adventure","Futuron","Normal",TRUE,57,1,"https://brickset.com/sets/6828-1",3.7,1,"Box","Retail",NA,"https://images.brickset.com/sets/small/6828-1.jpg","https://images.brickset.com/sets/images/6828-1.jpg",NA,NA,NA,NA
3644,"6830",1,"Space Patroller",1988,"Space","Action/Adventure","Futuron","Normal",TRUE,51,3,"https://brickset.com/sets/6830-1",3.8,6,"Box","Retail",NA,"https://images.brickset.com/sets/small/6830-1.jpg","https://images.brickset.com/sets/images/6830-1.jpg",NA,NA,NA,NA
3659,"6848",1,"Strategic Pursuer",1988,"Space","Action/Adventure","Futuron","Normal",TRUE,54,1,"https://brickset.com/sets/6848-1",3.6,2,"Box","Retail",NA,"https://images.brickset.com/sets/small/6848-1.jpg","https://images.brickset.com/sets/images/6848-1.jpg",NA,NA,NA,NA
3673,"6875",1,"Hovercraft",1988,"Space","Action/Adventure","Futuron","Normal",TRUE,93,1,"https://brickset.com/sets/6875-1",3.9,1,"Box","Retail",NA,"https://images.brickset.com/sets/small/6875-1.jpg","https://images.brickset.com/sets/images/6875-1.jpg",NA,NA,NA,NA
3674,"6876",1,"Alienator",1988,"Space","Action/Adventure","Blacktron","Normal",TRUE,86,1,"https://brickset.com/sets/6876-1",4.1,10,"Box","Retail",NA,"https://images.brickset.com/sets/small/6876-1.jpg","https://images.brickset.com/sets/images/6876-1.jpg",NA,NA,NA,NA
3683,"6885",1,"Crater Crawler",1988,"Space","Action/Adventure","Futuron","Normal",TRUE,100,1,"https://brickset.com/sets/6885-1",3.6,2,"Box","Retail",NA,"https://images.brickset.com/sets/small/6885-1.jpg","https://images.brickset.com/sets/images/6885-1.jpg",NA,NA,NA,NA
3707,"6921",1,"Monorail Accessory Track",1988,"Space","Action/Adventure","Futuron","Normal",TRUE,46,NA,"https://brickset.com/sets/6921-1",4.5,1,"Box","Retail",NA,"https://images.brickset.com/sets/small/6921-1.jpg","https://images.brickset.com/sets/images/6921-1.jpg",NA,NA,NA,NA
3709,"6925",1,"Interplanetary Rover",1988,"Space","Action/Adventure","Futuron","Normal",TRUE,217,4,"https://brickset.com/sets/6925-1",3.8,1,"Box","Retail",NA,"https://images.brickset.com/sets/small/6925-1.jpg","https://images.brickset.com/sets/images/6925-1.jpg",NA,NA,NA,NA
3755,"6987",1,"Message Intercept Base",1988,"Space","Action/Adventure","Blacktron","Normal",TRUE,569,5,"https://brickset.com/sets/6987-1",4.7,11,"Box","Retail",NA,"https://images.brickset.com/sets/small/6987-1.jpg","https://images.brickset.com/sets/images/6987-1.jpg",NA,NA,NA,NA
4436,"8712",1,"Technic Figures",1988,"Technic","Technical","Supplementary","Normal",TRUE,10,3,"https://brickset.com/sets/8712-1",3.3,4,"Box","Retail",NA,"https://images.brickset.com/sets/small/8712-1.jpg","https://images.brickset.com/sets/images/8712-1.jpg",NA,NA,NA,NA
4476,"8832",1,"Roadster",1988,"Technic","Technical",NA,"Normal",TRUE,86,NA,"https://brickset.com/sets/8832-1",3.7,5,"Box","Retail",NA,"https://images.brickset.com/sets/small/8832-1.jpg","https://images.brickset.com/sets/images/8832-1.jpg",NA,NA,NA,NA
4496,"8853",1,"Excavator",1988,"Technic","Technical",NA,"Normal",TRUE,326,NA,"https://brickset.com/sets/8853-1",3.8,2,"Box","Retail",NA,"https://images.brickset.com/sets/small/8853-1.jpg","https://images.brickset.com/sets/images/8853-1.jpg",NA,NA,NA,NA
4498,"8855",1,"Prop Plane",1988,"Technic","Technical",NA,"Normal",TRUE,569,1,"https://brickset.com/sets/8855-1",4.2,5,"Box","Retail",NA,"https://images.brickset.com/sets/small/8855-1.jpg","https://images.brickset.com/sets/images/8855-1.jpg",NA,NA,NA,NA
4508,"8865",1,"Test Car",1988,"Technic","Technical",NA,"Normal",TRUE,900,NA,"https://brickset.com/sets/8865-1",4.4,10,"Box","Retail",NA,"https://images.brickset.com/sets/small/8865-1.jpg","https://images.brickset.com/sets/images/8865-1.jpg",NA,NA,NA,NA
4866,"9058",1,"Large Building Plates",1988,"Dacta","Educational",NA,"Normal",TRUE,2,NA,"https://brickset.com/sets/9058-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/9058-1.jpg","https://images.brickset.com/sets/images/9058-1.jpg",NA,NA,NA,NA
22625,"9155",1,"Circus",1988,"Dacta","Educational","Duplo","Normal",TRUE,60,6,"https://brickset.com/sets/9155-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/9155-1.jpg","https://images.brickset.com/sets/images/9155-1.jpg",NA,NA,NA,NA
22623,"9220",1,"Farm Scene Mosaics",1988,"Dacta","Educational","Duplo","Normal",TRUE,81,NA,"https://brickset.com/sets/9220-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/9220-1.jpg","https://images.brickset.com/sets/images/9220-1.jpg",NA,NA,NA,NA
22624,"9221",1,"Town Scene Mosaics",1988,"Dacta","Educational","Duplo","Normal",TRUE,81,NA,"https://brickset.com/sets/9221-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/9221-1.jpg","https://images.brickset.com/sets/images/9221-1.jpg",NA,NA,NA,NA
27347,"9850",1,"Duplo Play wall",1988,"Gear","Miscellaneous","Furniture","Gear",TRUE,NA,NA,"https://brickset.com/sets/9850-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA
31851,"BK02SPR1988",1,"BRICK KICKS Issue No. 2",1988,"Books","Miscellaneous","Brick Kicks","Book",TRUE,NA,NA,"https://brickset.com/sets/BK02SPR1988-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/BK02SPR1988-1.jpg","https://images.brickset.com/sets/images/BK02SPR1988-1.jpg",NA,NA,NA,NA
31852,"BK03SUM1988",1,"BRICK KICKS Issue No. 3",1988,"Books","Miscellaneous","Brick Kicks","Book",TRUE,NA,NA,"https://brickset.com/sets/BK03SUM1988-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/BK03SUM1988-1.jpg","https://images.brickset.com/sets/images/BK03SUM1988-1.jpg",NA,NA,NA,NA
31853,"BK04SUM1988",1,"BRICK KICKS Issue No. 4",1988,"Books","Miscellaneous","Brick Kicks","Book",TRUE,NA,NA,"https://brickset.com/sets/BK04SUM1988-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/BK04SUM1988-1.jpg","https://images.brickset.com/sets/images/BK04SUM1988-1.jpg",NA,NA,NA,NA
31854,"BK05FAL1988",1,"BRICK KICKS Fall 1988 Issue",1988,"Books","Miscellaneous","Brick Kicks","Book",TRUE,NA,NA,"https://brickset.com/sets/BK05FAL1988-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/BK05FAL1988-1.jpg","https://images.brickset.com/sets/images/BK05FAL1988-1.jpg",NA,NA,NA,NA
31855,"BK06WIN1988",1,"BRICK KICKS Winter '88 - '89",1988,"Books","Miscellaneous","Brick Kicks","Book",TRUE,NA,NA,"https://brickset.com/sets/BK06WIN1988-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/BK06WIN1988-1.jpg","https://images.brickset.com/sets/images/BK06WIN1988-1.jpg",NA,NA,NA,NA
